item_name,account_id,account_name,vendor_name,bu_id
Vibration isolation pads,4003,Retail COS,Sika Adhesives,LEGO_DE_ENGINEERING
Aluminum mounting brackets,4003,Retail COS,BASF Plastics,LEGO_DE_ASSEMBLY
Hydraulic hose assemblies,4003,Retail COS,ENGEL Group,LEGO_DE_ASSEMBLY
Grease cartridges,4009,Inter Company COS,LEGO_DE_ASSEMBLY,LEGO_SE_LOGISTICS
PTFE lubricants,4003,Retail COS,Solvay Specialty Polymers,LEGO_DE_ASSEMBLY
Shock absorbers (machine),4003,Retail COS,ENGEL Group,LEGO_DE_ASSEMBLY
O-ring kits,4003,Retail COS,BASF Plastics,LEGO_DE_ASSEMBLY
Adhesive tapes (industrial),4003,Retail COS,Sika Adhesives,LEGO_DE_ASSEMBLY
High-speed data cables,4003,Retail COS,Solvay Specialty Polymers,LEGO_US_DIGITAL
Industrial RFID tags,4003,Retail COS,Siemens Industry,LEGO_SE_LOGISTICS
Circuit breakers,4003,Retail COS,Schneider Electric,LEGO_DE_ENGINEERING
Pneumatic tubing,4003,Retail COS,BASF Plastics,LEGO_DE_ENGINEERING
Hearing protection plugs,4003,Retail COS,BASF Plastics,LEGO_SE_LOGISTICS
Insulation sleeving,4003,Retail COS,BASF Plastics,LEGO_DE_ASSEMBLY
Safety gloves (nitrile),4003,Retail COS,Lyreco Nordic,LEGO_SE_LOGISTICS
Hand tools (pliers),4003,Retail COS,BASF Plastics,LEGO_DE_ENGINEERING
Uniforms (operator),4003,Retail COS,Initial Denmark,LEGO_SE_LOGISTICS
Hand tools (hex wrenches),4003,Retail COS,Lyreco Nordic,LEGO_DE_ASSEMBLY
Conveyor rollers,4003,Retail COS,BASF Plastics,LEGO_SE_LOGISTICS
Lockout tagout kits,4003,Retail COS,Schneider Electric,LEGO_DE_ASSEMBLY
First aid kits,4003,Retail COS,Lyreco Nordic,LEGO_SE_LOGISTICS
Industrial rags,4003,Retail COS,Initial Denmark,LEGO_SE_LOGISTICS
Safety signage,4003,Retail COS,AkzoNobel Coatings,LEGO_DK_TOUR
Fire extinguishers,4003,Retail COS,ISS Facility Services,LEGO_DK_TOUR
Safety goggles,4003,Retail COS,BASF Plastics,LEGO_DE_ENGINEERING
Broom and dustpan sets,4003,Retail COS,Staples Denmark,LEGO_SE_LOGISTICS
Waste collection bags,4003,Retail COS,BASF Plastics,LEGO_SE_LOGISTICS
Battery packs (AA),4003,Retail COS,BIC Nordic,LEGO_DE_ASSEMBLY
Motor couplings,4009,Inter Company COS,LEGO_US_DIGITAL,LEGO_DE_ASSEMBLY
Heat shrink tubing,4003,Retail COS,BASF Plastics,LEGO_DE_ENGINEERING
Battery packs (AAA),4003,Retail COS,BASF Plastics,LEGO_SE_LOGISTICS
Industrial vacuum cleaner bags,4003,Retail COS,Lyreco Nordic,LEGO_SE_LOGISTICS
Sticky note pads,4003,Retail COS,Staples Denmark,LEGO_DE_ASSEMBLY
Replacement light bulbs,4003,Retail COS,Staples Denmark,LEGO_DK_TOUR
Notebook pads,4003,Retail COS,Staples Denmark,LEGO_DE_ASSEMBLY
Staplers,4003,Retail COS,Staples Denmark,LEGO_DE_ASSEMBLY
Printer toner cartridges,4003,Retail COS,Staples Denmark,LEGO_SE_LOGISTICS
Document folders,4003,Retail COS,Staples Denmark,LEGO_DE_ENGINEERING
Binder clips,4009,Inter Company COS,LEGO_SE_MOULDING,LEGO_DE_ASSEMBLY
Paper clips,4003,Retail COS,Staples Denmark,LEGO_DE_ASSEMBLY
Printer ink cartridges,4003,Retail COS,Staples Denmark,LEGO_SE_LOGISTICS
Ring binders,4003,Retail COS,LEGO_US_DIGITAL,LEGO_DK_EDU
Document shredders,4003,Retail COS,Staples Denmark,LEGO_DE_ENGINEERING
Desk calculators,4003,Retail COS,Staples Denmark,LEGO_DE_ENGINEERING
Correction tape,4003,Retail COS,BIC Nordic,LEGO_SE_LOGISTICS
Highlighter pens,4003,Retail COS,BIC Nordic,LEGO_DE_ASSEMBLY
Envelopes (DL),4003,Retail COS,Staples Denmark,LEGO_DK_DESIGN
Bubble wrap,4003,Retail COS,LEGO_DE_ASSEMBLY,LEGO_US_PACKAGING
USB flash drives,4003,Retail COS,Staples Denmark,LEGO_US_DIGITAL
Mailing labels,4003,Retail COS,LEGO_DE_ASSEMBLY,LEGO_US_PACKAGING
External hard drives,4003,Retail COS,Staples Denmark,LEGO_US_DIGITAL
Packing tape,4003,Retail COS,LEGO_DE_ASSEMBLY,LEGO_US_PACKAGING
Keyboard devices,4003,Retail COS,BASF Plastics,LEGO_US_DIGITAL
Computer monitors,4003,Retail COS,Staples Denmark,LEGO_US_DIGITAL
Smartphone chargers,4003,Retail COS,Solvay Specialty Polymers,LEGO_US_DIGITAL
Ethernet patch cables,4003,Retail COS,Staples Denmark,LEGO_SE_LOGISTICS
Mouse devices,4009,Inter Company COS,LEGO_DE_ASSEMBLY,LEGO_US_DIGITAL
Wireless routers,4003,Retail COS,Microsoft Azure,LEGO_US_DIGITAL
Bottled water (0.5L),4009,Inter Company COS,LEGO_DK_TOUR,LEGO_DK_TOUR
Hand soap refills,4009,Inter Company COS,LEGO_DK_TOUR,LEGO_SE_LOGISTICS
Sanitary bin liners,4009,Inter Company COS,LEGO_DE_ASSEMBLY,LEGO_SE_LOGISTICS
Air freshener sprays,4003,Retail COS,Evonik Additives,LEGO_SE_LOGISTICS
Floor cleaner,4003,Retail COS,ISS Facility Services,LEGO_SE_LOGISTICS
Tea bags,4003,Retail COS,BASF Plastics,LEGO_DK_TOUR
Conference speakerphones,4003,Retail COS,Lyreco Nordic,LEGO_DE_ENGINEERING
Kitchen paper roll,4003,Retail COS,Lyreco Nordic,LEGO_SE_LOGISTICS
Milk (long-life cartons),4003,Retail COS,Kuehne + Nagel,LEGO_SE_LOGISTICS
Disposable plates,4003,Retail COS,LEGO_DE_ASSEMBLY,LEGO_US_PACKAGING
Lunch napkins,4003,Retail COS,LEGO_DE_ASSEMBLY,LEGO_US_PACKAGING
Hand sanitizer gel,4003,Retail COS,Perstorp AB,LEGO_SE_LOGISTICS
Disposable cutlery,4003,Retail COS,BASF Plastics,LEGO_DK_TOUR
Visitor ID badges,4003,Retail COS,Staples Denmark,LEGO_DK_TOUR
Sugar packets,4003,Retail COS,BIC Nordic,LEGO_DK_TOUR
Coat hangers (plastic),4003,Retail COS,BASF Plastics,LEGO_SE_LOGISTICS
Umbrellas (promotional),4009,Inter Company COS,LEGO_US_DIGITAL,LEGO_DK_TOUR
Keycard holders,4003,Retail COS,BASF Plastics,LEGO_DK_TOUR
Catering coffee filters,4003,Retail COS,Sodexo Danmark,LEGO_DK_TOUR
Dish soap,4003,Retail COS,BASF Plastics,LEGO_SE_LOGISTICS
Chocolate bars,4003,Retail COS,BASF Plastics,LEGO_DE_ASSEMBLY
Calendar pads,4003,Retail COS,Staples Denmark,LEGO_DK_TOUR
Desk fans,4003,Retail COS,BASF Plastics,LEGO_SE_LOGISTICS
Fruit baskets,4003,Retail COS,BASF Plastics,LEGO_DK_TOUR
Desk lamps,4003,Retail COS,Staples Denmark,LEGO_DE_ASSEMBLY
Lanyards,4003,Retail COS,BASF Plastics,LEGO_DK_TOUR
Pinboards,4003,Retail COS,BASF Plastics,LEGO_DK_DESIGN
Wall clocks,4003,Retail COS,BASF Plastics,LEGO_DK_TOUR
Flipchart pads,4003,Retail COS,Lyreco Nordic,LEGO_DE_ASSEMBLY
Table covers,4003,Retail COS,Lyreco Nordic,LEGO_DK_TOUR
Mouse pads,4009,Inter Company COS,LEGO_DE_ASSEMBLY,LEGO_DE_ASSEMBLY
Label printer tapes,4003,Retail COS,Staples Denmark,LEGO_SE_LOGISTICS
Shoe covers (disposable),4003,Retail COS,Initial Denmark,LEGO_DK_TOUR
Trash bin bags,4003,Retail COS,Lyreco Nordic,LEGO_SE_LOGISTICS
Facility Management Service Fee,5013,Repairs and Maintenance,ISS Facility Services,LEGO_DE_ENGINEERING
SAP Enterprise License,5023,Professional Services,SAP Denmark,LEGO_DE_ENGINEERING
International Payroll Tax Filing Service,4009,Inter Company COS,LEGO_DE_ASSEMBLY,LEGO_DE_ENGINEERING
Business Intelligence Platform License,5023,Professional Services,IBM Cloud Services,LEGO_DE_ENGINEERING
Employee Benefits Management Fee,5002,Employee Benefits,Adecco Denmark,LEGO_DE_ASSEMBLY
Global HR Payroll Service,5003,Payroll Taxes,Adecco Denmark,LEGO_DE_ASSEMBLY
Annual Financial Audit,5023,Professional Services,PwC Denmark,LEGO_DE_ASSEMBLY
Legal Advisory Retainer,5023,Professional Services,EY Advisory,LEGO_DE_ASSEMBLY
Enterprise IT Outsourcing Retainer,5023,Professional Services,IBM Cloud Services,LEGO_DE_ENGINEERING
Corporate IT Helpdesk Outsourcing,5023,Professional Services,Tata Consultancy Services,LEGO_US_DIGITAL
Corporate Governance Reporting Service,5023,Professional Services,Tata Consultancy Services,LEGO_DE_ENGINEERING
Content Management System License,5022,Other Expenses,Microsoft Azure,LEGO_US_DIGITAL
Workforce Health Insurance Administration,4009,Inter Company COS,LEGO_US_DIGITAL,LEGO_DE_ENGINEERING
Cross-Border VAT Filing Subscription,5023,Professional Services,PwC Denmark,LEGO_DE_ENGINEERING
Enterprise Backup Storage Subscription,5009,Equipment,Microsoft Azure,LEGO_US_DIGITAL
Corporate Travel Management Fee,5018,Other Travel Related,Ramboll Management,LEGO_DE_ASSEMBLY
Annual Internal Control Review,4009,Inter Company COS,LEGO_US_DIGITAL,LEGO_DE_ENGINEERING
Annual ISO Certification Fee,5023,Professional Services,Tata Consultancy Services,LEGO_DE_ENGINEERING
Occupational Health Service Retainer,5023,Professional Services,Sodexo Danmark,LEGO_DE_ENGINEERING
Data Privacy Compliance Consulting,5023,Professional Services,Tata Consultancy Services,LEGO_DE_ENGINEERING
Treasury Management System License,5023,Professional Services,IBM Cloud Services,LEGO_DE_ASSEMBLY
HR Recruitment Platform License,5023,Professional Services,Adecco Denmark,LEGO_DE_ENGINEERING
Mailroom Outsourcing Service,5023,Professional Services,ISS Facility Services,LEGO_SE_LOGISTICS
Employee Training Platform Subscription,5002,Employee Benefits,LEGO_US_DIGITAL,LEGO_DK_EDU
Annual Workplace Ergonomics Assessment,4009,Inter Company COS,LEGO_DE_ASSEMBLY,LEGO_DE_ENGINEERING
Environmental Compliance Service,5023,Professional Services,Tata Consultancy Services,LEGO_DE_ENGINEERING
Annual Trade Mark Renewal Fee,5023,Professional Services,Tata Consultancy Services,LEGO_DK_DESIGN
Annual Customs Audit Fee,5023,Professional Services,PwC Denmark,LEGO_DE_ENGINEERING
Annual Fire Safety Inspection,5013,Repairs and Maintenance,ISS Facility Services,LEGO_DE_ENGINEERING
Annual Brand Protection Monitoring,5023,Professional Services,Tata Consultancy Services,LEGO_DE_ENGINEERING
Annual Data Protection Officer Service,5023,Professional Services,NNIT A/S,LEGO_DE_ENGINEERING
Outsourced Call Center Service,5023,Professional Services,LEGO_US_DIGITAL,LEGO_DK_EDU
Cloud Collaboration Suite License,5005,Telephone,IBM Cloud Services,LEGO_US_DIGITAL
Annual Packaging Compliance Fee,5022,Other Expenses,LEGO_DE_ASSEMBLY,LEGO_US_PACKAGING
Fleet Management Service,5013,Repairs and Maintenance,ISS Facility Services,LEGO_SE_LOGISTICS
Annual Energy Use Certification,5006,Utilities,Schneider Electric,LEGO_DE_ASSEMBLY
Annual Building Insurance Fee,5011,Property,ISS Facility Services,LEGO_DE_ASSEMBLY
Payroll Software Subscription,5023,Professional Services,Tata Consultancy Services,LEGO_DE_ENGINEERING
Translation Service Retainer,5023,Professional Services,Tata Consultancy Services,LEGO_DE_ENGINEERING
Occupational Pension Administration Service,5002,Employee Benefits,Adecco Denmark,LEGO_DE_ASSEMBLY
Annual VAT Registration Fee,5022,Other Expenses,BASF Plastics,LEGO_DE_ASSEMBLY
Corporate Insurance Brokerage Fee,5023,Professional Services,Boston Consulting Group,LEGO_DE_ASSEMBLY
Annual Fair Employment Certification,5023,Professional Services,Adecco Denmark,LEGO_DE_ENGINEERING
Annual Employee Wellbeing Program,5002,Employee Benefits,Sodexo Danmark,LEGO_DE_ENGINEERING
Annual Telecommunication Audit,5005,Telephone,Microsoft Azure,LEGO_DE_ASSEMBLY
Annual Trademark Watch Service,5023,Professional Services,Boston Consulting Group,LEGO_DK_DESIGN
Annual GDPR Compliance Audit,5023,Professional Services,Tata Consultancy Services,LEGO_DE_ENGINEERING
Annual Cyber Threat Intelligence Subscription,5023,Professional Services,IBM Cloud Services,LEGO_DE_ENGINEERING
Annual Energy Labelling Inspection,5023,Professional Services,Tata Consultancy Services,LEGO_DE_ENGINEERING
Access Control System Maintenance,5013,Repairs and Maintenance,ISS Facility Services,LEGO_DE_ENGINEERING
Annual IT Asset Disposal Service,5012,Gains/Losses On Asset Disposal - Property,Deloitte IT Solutions,LEGO_DE_ASSEMBLY
Annual CSR Reporting Service,5023,Professional Services,Tata Consultancy Services,LEGO_DE_ENGINEERING
Annual Water Use Audit,5006,Utilities,ISS Facility Services,LEGO_DE_ASSEMBLY
Annual Travel Insurance Policy,5018,Other Travel Related,Blue Water Shipping,LEGO_DK_TOUR
Annual Import/Export License Fee,5022,Other Expenses,Kuehne + Nagel,LEGO_SE_LOGISTICS
Annual Employee Assistance Program Fee,5002,Employee Benefits,Adecco Denmark,LEGO_DE_ENGINEERING
Annual Recruitment Process Outsourcing Fee,5023,Professional Services,Adecco Denmark,LEGO_DE_ENGINEERING
Annual Anti-money Laundering Audit,5023,Professional Services,PwC Denmark,LEGO_DE_ASSEMBLY
Annual Risk Management Consulting,5023,Professional Services,Ramboll Management,LEGO_DE_ENGINEERING
Annual Diversity & Inclusion Program Fee,5023,Professional Services,Boston Consulting Group,LEGO_DE_ENGINEERING
Annual Digital Marketing Analytics Subscription,5020,Marketing Collateral,LEGO_US_DIGITAL,LEGO_US_DIGITAL
Annual Data Center Maintenance Fee,5013,Repairs and Maintenance,Microsoft Azure,LEGO_DE_ENGINEERING
Annual Sustainability Reporting Fee,5023,Professional Services,Boston Consulting Group,LEGO_DE_ENGINEERING
Annual Internal Mobility Platform Fee,5023,Professional Services,Tata Consultancy Services,LEGO_DE_ENGINEERING
Annual Customer Experience Monitoring,5023,Professional Services,Tata Consultancy Services,LEGO_DK_TOUR
Annual Office Plants Maintenance Service,5013,Repairs and Maintenance,HedeDanmark Landscaping,LEGO_DE_ENGINEERING
Annual Social Media Monitoring Subscription,5023,Professional Services,Tata Consultancy Services,LEGO_US_DIGITAL
Annual Crisis Management Retainer,5023,Professional Services,Tata Consultancy Services,LEGO_DE_ENGINEERING
Annual Fixed Asset Register Audit,5023,Professional Services,PwC Denmark,LEGO_DE_ENGINEERING
Annual IT Asset Tagging Fee,5013,Repairs and Maintenance,Deloitte IT Solutions,LEGO_US_DIGITAL
Annual Cafeteria Health Inspection,5023,Professional Services,Sodexo Danmark,LEGO_DK_TOUR
Annual Parking Management Fee,5024,Rent,ISS Facility Services,LEGO_DE_ASSEMBLY
Annual PC Antivirus License,5009,Equipment,Microsoft Azure,LEGO_US_DIGITAL
Annual Business Magazine Subscription,5022,Other Expenses,Staples Denmark,LEGO_DE_ASSEMBLY
Annual HR Legal Helpline Subscription,5023,Professional Services,Adecco Denmark,LEGO_DE_ASSEMBLY
Annual Freight Forwarder Administration Fee,5022,Other Expenses,Kuehne + Nagel,LEGO_SE_LOGISTICS
Annual Conference Room Booking License,5019,Conferences,LEGO_US_DIGITAL,LEGO_DK_EDU
Annual Mobile Device SIM Management Fee,5005,Telephone,Ramboll Management,LEGO_DE_ASSEMBLY
Annual Visitor Management License,5023,Professional Services,Tata Consultancy Services,LEGO_DK_TOUR
Annual Public Address System Service,5013,Repairs and Maintenance,ISS Facility Services,LEGO_DE_ENGINEERING
Annual E-learning Content Fee,5022,Other Expenses,Microsoft Azure,LEGO_DE_ENGINEERING
Annual Document Shredding Service,5023,Professional Services,ISS Facility Services,LEGO_DE_ENGINEERING
Annual Postage Permit Fee,5022,Other Expenses,FedEx Express,LEGO_DE_ASSEMBLY
Annual Chamber of Commerce Membership,5022,Other Expenses,BASF Plastics,LEGO_DE_ASSEMBLY
Annual Risk & Compliance Newsletter Subscription,5022,Other Expenses,PwC Denmark,LEGO_DE_ASSEMBLY
Annual Employee Survey Platform Fee,5002,Employee Benefits,Microsoft Azure,LEGO_DE_ENGINEERING
Annual Public Holiday Calendar License,5023,Professional Services,Tata Consultancy Services,LEGO_DE_ENGINEERING
Annual Secure Email Gateway License,5023,Professional Services,IBM Cloud Services,LEGO_US_DIGITAL
Annual Cloud Storage License,5022,Other Expenses,IBM Cloud Services,LEGO_US_DIGITAL
Annual Fax-to-Email License,5005,Telephone,BASF Plastics,LEGO_DE_ASSEMBLY
Annual Corporate Social Responsibility Fee,5022,Other Expenses,BASF Plastics,LEGO_DE_ASSEMBLY
Annual Board Portal License,5023,Professional Services,Tata Consultancy Services,LEGO_DE_ENGINEERING
Annual Digital Timesheet License,5023,Professional Services,Tata Consultancy Services,LEGO_US_DIGITAL
Annual Statistical Reporting License,5023,Professional Services,Tata Consultancy Services,LEGO_DE_ENGINEERING
Annual Relocation Counseling Subscription,5023,Professional Services,Tata Consultancy Services,LEGO_DE_ENGINEERING
Annual DPA Registration Fee,5022,Other Expenses,SAP Denmark,LEGO_DK_DESIGN
Annual Public Tender Portal Access,5023,Professional Services,Tata Consultancy Services,LEGO_DE_ENGINEERING
Annual Team Collaboration App License,5022,Other Expenses,Microsoft Azure,LEGO_US_DIGITAL
Annual Company Seal Registration,5023,Professional Services,McKinsey & Company,LEGO_DE_ENGINEERING
Annual Business Registry Renewal Fee,5022,Other Expenses,BASF Plastics,LEGO_DE_ASSEMBLY
