item_name,source_type,annual_spend,unit_price,proportionality,product_id,procurement_id,service_id
Interior Cleaning Service,Product Sales,2516000.0,1200,0.0038961038961038,Interior Cleaning Service,,
Car Seat Covers,Product Sales,2516000.0,1650,0.0038961038961038,Car Seat Covers,,
Leather Interior Upgrades,Product Sales,2516000.0,5900,0.0038961038961038,Leather Interior Upgrades,,
Personalized License Plates,Product Sales,2516000.0,2100,0.0038961038961038,Personalized License Plates,,
Commercial Van Insurance,Product Sales,2516000.0,3400,0.0038961038961038,Commercial Van Insurance,,
Parking Sensors,Product Sales,2516000.0,2100,0.0038961038961038,Parking Sensors,,
Hands-Free Calling Systems,Product Sales,2516000.0,1200,0.0038961038961038,Hands-Free Calling Systems,,
Rear View Camera Systems,Product Sales,2516000.0,3800,0.0038961038961038,Rear View Camera Systems,,
Exhaust System Upgrades,Product Sales,2516000.0,3200,0.0038961038961038,Exhaust System Upgrades,,
Car Care Kits,Product Sales,2516000.0,500,0.0038961038961038,Car Care Kits,,
Rain Sensors,Product Sales,2516000.0,950,0.0038961038961038,Rain Sensors,,
Mirror Replacement,Product Sales,2516000.0,1300,0.0038961038961038,Mirror Replacement,,
Car Polishing Service,Product Sales,2516000.0,1300,0.0038961038961038,Car Polishing Service,,
Tow Service,Product Sales,2516000.0,700,0.0038961038961038,Tow Service,,
Van Racking Solutions,Product Sales,1678000.0,4100,0.0025974025974025,Van Racking Solutions,,
Mobile App Services,Product Sales,1678000.0,300,0.0025974025974025,Mobile App Services,,
Motor Oil,Product Sales,1678000.0,650,0.0025974025974025,Motor Oil,,
Coolant & Fluids,Product Sales,1678000.0,420,0.0025974025974025,Coolant & Fluids,,
Wiper Blade Replacement,Product Sales,1678000.0,380,0.0025974025974025,Wiper Blade Replacement,,
Car Alarm Systems,Product Sales,1678000.0,1700,0.0025974025974025,Car Alarm Systems,,
First Aid Kits,Product Sales,1678000.0,200,0.0025974025974025,First Aid Kits,,
Sunshades,Product Sales,1678000.0,370,0.0025974025974025,Sunshades,,
Boot Trays,Product Sales,1678000.0,500,0.0025974025974025,Boot Trays,,
Roof Rack Systems,Product Sales,1678000.0,3500,0.0025974025974025,Roof Rack Systems,,
Wheel Lock Sets,Product Sales,1678000.0,700,0.0025974025974025,Wheel Lock Sets,,
Upholstery Cleaning,Product Sales,1678000.0,950,0.0025974025974025,Upholstery Cleaning,,
Front Grilles,Product Sales,1678000.0,2400,0.0025974025974025,Front Grilles,,
Side Step Bars,Product Sales,1678000.0,2800,0.0025974025974025,Side Step Bars,,
Mud Flaps,Product Sales,1678000.0,400,0.0025974025974025,Mud Flaps,,
Fuel System Cleaners,Product Sales,1678000.0,210,0.0025974025974025,Fuel System Cleaners,,
Phone Mounts,Product Sales,1678000.0,300,0.0025974025974025,Phone Mounts,,
Tire Pressure Monitors,Product Sales,1678000.0,1300,0.0025974025974025,Tire Pressure Monitors,,
Automatic Car Covers,Product Sales,1678000.0,900,0.0025974025974025,Automatic Car Covers,,
License Plate Holders,Product Sales,1678000.0,330,0.0025974025974025,License Plate Holders,,
Trunk Organizers,Product Sales,1678000.0,370,0.0025974025974025,Trunk Organizers,,
Seat Belt Pads,Product Sales,1678000.0,190,0.0025974025974025,Seat Belt Pads,,
Jump Starter Packs,Product Sales,1678000.0,1100,0.0025974025974025,Jump Starter Packs,,
Reflective Vests,Product Sales,1678000.0,95,0.0025974025974025,Reflective Vests,,
Spare Tire Kits,Product Sales,1678000.0,1200,0.0025974025974025,Spare Tire Kits,,
Charging Cables,Product Sales,1678000.0,630,0.0025974025974025,Charging Cables,,
LED Headlights,Product Sales,1678000.0,2100,0.0025974025974025,LED Headlights,,
Bluetooth Adapters,Product Sales,1678000.0,450,0.0025974025974025,Bluetooth Adapters,,
Car Fragrance Dispensers,Product Sales,1678000.0,180,0.0025974025974025,Car Fragrance Dispensers,,
Blind Spot Mirrors,Product Sales,1678000.0,170,0.0025974025974025,Blind Spot Mirrors,,
Van Floor Protection,Product Sales,1678000.0,1150,0.0025974025974025,Van Floor Protection,,
Roof Ladder Racks,Product Sales,1678000.0,2600,0.0025974025974025,Roof Ladder Racks,,
Car Jack Kits,Product Sales,1678000.0,470,0.0025974025974025,Car Jack Kits,,
Child Sun Shades,Product Sales,1678000.0,350,0.0025974025974025,Child Sun Shades,,
Boot Organizers,Product Sales,1678000.0,440,0.0025974025974025,Boot Organizers,,
Underbody Protection,Product Sales,1678000.0,1900,0.0025974025974025,Underbody Protection,,
Electronic Toll Tags,Product Sales,1678000.0,330,0.0025974025974025,Electronic Toll Tags,,
Tablet Holders,Product Sales,1678000.0,330,0.0025974025974025,Tablet Holders,,
Travel Coolers,Product Sales,1678000.0,780,0.0025974025974025,Travel Coolers,,
Air Fresheners,Product Sales,1678000.0,60,0.0025974025974025,Air Fresheners,,
Windshield Washer Fluid,Product Sales,1678000.0,55,0.0025974025974025,Windshield Washer Fluid,,
Valve Caps,Product Sales,1678000.0,45,0.0025974025974025,Valve Caps,,
Car Interior Brushes,Product Sales,1678000.0,80,0.0025974025974025,Car Interior Brushes,,
Touchscreen Protectors,Product Sales,1678000.0,120,0.0025974025974025,Touchscreen Protectors,,
Cup Holders,Product Sales,1678000.0,155,0.0025974025974025,Cup Holders,,
Tyre Storage Bags,Product Sales,1678000.0,200,0.0025974025974025,Tyre Storage Bags,,
Roof Spoilers,Product Sales,1678000.0,1400,0.0025974025974025,Roof Spoilers,,
ICE Scrapers,Product Sales,1678000.0,35,0.0025974025974025,ICE Scrapers,,
Rear Window Wipers,Product Sales,1678000.0,170,0.0025974025974025,Rear Window Wipers,,
Car Organizer Pockets,Product Sales,1678000.0,110,0.0025974025974025,Car Organizer Pockets,,
Front Seat Protectors,Product Sales,1678000.0,210,0.0025974025974025,Front Seat Protectors,,
Replacement Antennas,Product Sales,1678000.0,340,0.0025974025974025,Replacement Antennas,,
Exterior Trim Kits,Product Sales,1678000.0,700,0.0025974025974025,Exterior Trim Kits,,
Car Key Fobs,Product Sales,1678000.0,850,0.0025974025974025,Car Key Fobs,,
Tyre Tread Depth Gauges,Product Sales,1678000.0,95,0.0025974025974025,Tyre Tread Depth Gauges,,
Garage Parking Sensors,Product Sales,1678000.0,850,0.0025974025974025,Garage Parking Sensors,,
Wireless Charging Pads,Product Sales,1678000.0,620,0.0025974025974025,Wireless Charging Pads,,
Pet Seat Belts,Product Sales,1678000.0,260,0.0025974025974025,Pet Seat Belts,,
Trunk Cargo Liners,Product Sales,1678000.0,410,0.0025974025974025,Trunk Cargo Liners,,
Digital Tyre Inflators,Product Sales,1678000.0,700,0.0025974025974025,Digital Tyre Inflators,,
Door Sill Protectors,Product Sales,1678000.0,230,0.0025974025974025,Door Sill Protectors,,
Emergency Hammers,Product Sales,1678000.0,120,0.0025974025974025,Emergency Hammers,,
Paddle Shifters,Product Sales,1678000.0,980,0.0025974025974025,Paddle Shifters,,
Magnetic Phone Holders,Product Sales,1678000.0,190,0.0025974025974025,Magnetic Phone Holders,,
Cigarette Lighter Sockets,Product Sales,1678000.0,80,0.0025974025974025,Cigarette Lighter Sockets,,
Car Sun Curtains,Product Sales,1678000.0,270,0.0025974025974025,Car Sun Curtains,,
Rear Bumper Guards,Product Sales,1678000.0,650,0.0025974025974025,Rear Bumper Guards,,
Microfiber Towels,Product Sales,1678000.0,70,0.0025974025974025,Microfiber Towels,,
Engine Oil Filters,Product Sales,1678000.0,100,0.0025974025974025,Engine Oil Filters,,
Parking Disc Holders,Product Sales,1678000.0,55,0.0025974025974025,Parking Disc Holders,,
Seat Gap Fillers,Product Sales,1678000.0,80,0.0025974025974025,Seat Gap Fillers,,
Tire Valve Tools,Product Sales,1678000.0,40,0.0025974025974025,Tire Valve Tools,,
Dashboard Storage Trays,Product Sales,1678000.0,230,0.0025974025974025,Dashboard Storage Trays,,
Rubber Pedal Covers,Product Sales,1678000.0,120,0.0025974025974025,Rubber Pedal Covers,,
Anti-Fog Sprays,Product Sales,1678000.0,60,0.0025974025974025,Anti-Fog Sprays,,
Fuel Canisters,Product Sales,1678000.0,160,0.0025974025974025,Fuel Canisters,,
Wheel Alignment Service,Product Sales,1678000.0,1100,0.0025974025974025,Wheel Alignment Service,,
Reflective Warning Triangles,Product Sales,1678000.0,120,0.0025974025974025,Reflective Warning Triangles,,
Car Audio Fuses,Product Sales,1678000.0,35,0.0025974025974025,Car Audio Fuses,,
Door Edge Guards,Product Sales,1678000.0,90,0.0025974025974025,Door Edge Guards,,
Van Shelving Units,Product Sales,1678000.0,3400,0.0025974025974025,Van Shelving Units,,
