ItemName,GLAccount,GLAccountName,CostCenter,CustomerName
LEGO Stationery,36272,Sales Revenue,CC106,John Lewis Partnership
LEGO Stationery,36272,Sales Revenue,CC101,John Lewis Partnership
LEGO Stationery,36272,Sales Revenue,CC103,Hamleys
LEGO City Stuntz Sets,36272,Sales Revenue,CC101,Carrefour
LEGO City Stuntz Sets,36272,Sales Revenue,CC109,The LEGO Foundation
LEGO City Stuntz Sets,36272,Sales Revenue,CC108,John Lewis Partnership
LEGO City Stuntz Sets,36272,Sales Revenue,CC105,Walmart
LEGO City Stuntz Sets,36272,Sales Revenue,CC102,Walmart
LEGO Advent Calendars,36272,Sales Revenue,CC109,"Toys ""R"" Us"
LEGO Advent Calendars,36272,Sales Revenue,CC101,John Lewis Partnership
LEGO Advent Calendars,36272,Sales Revenue,CC108,Walmart
LEGO Wearable Watches,36272,Sales Revenue,CC108,Carrefour
LEGO Wearable Watches,36272,Sales Revenue,CC105,Carrefour
LEGO Wearable Watches,36272,Sales Revenue,CC101,John Lewis Partnership
LEGO Movie Tie-in Sets,36272,Sales Revenue,CC104,Amazon
LEGO Movie Tie-in Sets,36272,Sales Revenue,CC105,Hamleys
LEGO Movie Tie-in Sets,36272,Sales Revenue,CC109,Target
LEGO Movie Tie-in Sets,36272,Sales Revenue,CC106,"Toys ""R"" Us"
LEGO Movie Tie-in Sets,36272,Sales Revenue,CC104,Target
LEGO Movie Tie-in Sets,36272,Sales Revenue,CC105,Amazon
LEGO Personalized Bricks,36272,Sales Revenue,CC107,Target
LEGO Personalized Bricks,36272,Sales Revenue,CC109,Educational Insights
LEGO Personalized Bricks,36272,Sales Revenue,CC100,Carrefour
LEGO Personalized Bricks,36272,Sales Revenue,CC100,John Lewis Partnership
LEGO Personalized Bricks,36272,Sales Revenue,CC105,Smithsonian Institution
LEGO Build & Store Workshops,36272,Sales Revenue,CC105,Carrefour
LEGO Build & Store Workshops,36272,Sales Revenue,CC105,Smithsonian Institution
LEGO Build & Store Workshops,36272,Sales Revenue,CC106,Walmart
LEGO Build & Store Workshops,36272,Sales Revenue,CC109,Carrefour
LEGO Build & Store Workshops,36272,Sales Revenue,CC108,The LEGO Foundation
LEGO Digital Building Apps,36272,Sales Revenue,CC100,Amazon
LEGO Digital Building Apps,36272,Sales Revenue,CC102,Target
LEGO Digital Building Apps,36272,Sales Revenue,CC103,Educational Insights
LEGO Digital Building Apps,36272,Sales Revenue,CC105,Target
LEGO Digital Building Apps,36272,Sales Revenue,CC103,Amazon
LEGO Digital Building Apps,36272,Sales Revenue,CC107,Target
LEGO Discovery STEM Sets,36272,Sales Revenue,CC104,Hamleys
LEGO Discovery STEM Sets,36272,Sales Revenue,CC101,John Lewis Partnership
LEGO Discovery STEM Sets,36272,Sales Revenue,CC109,The LEGO Foundation
LEGO Discovery STEM Sets,36272,Sales Revenue,CC105,John Lewis Partnership
LEGO Discovery STEM Sets,36272,Sales Revenue,CC109,Carrefour
LEGO Discovery STEM Sets,36272,Sales Revenue,CC101,Carrefour
LEGO Architecture Skyline Sets,36272,Sales Revenue,CC102,Target
LEGO Architecture Skyline Sets,36272,Sales Revenue,CC105,Carrefour
LEGO Brick Storage Heads,36272,Sales Revenue,CC103,The LEGO Foundation
LEGO Brick Storage Heads,36272,Sales Revenue,CC109,Carrefour
LEGO Brick Storage Heads,36272,Sales Revenue,CC103,Educational Insights
LEGO Power Functions Accessories,36272,Sales Revenue,CC106,Hamleys
LEGO Power Functions Accessories,36272,Sales Revenue,CC104,Smithsonian Institution
LEGO Power Functions Accessories,36272,Sales Revenue,CC105,Hamleys
LEGO Power Functions Accessories,36272,Sales Revenue,CC106,John Lewis Partnership
LEGO Power Functions Accessories,36272,Sales Revenue,CC101,Walmart
LEGO Power Functions Accessories,36272,Sales Revenue,CC106,Hamleys
LEGO Mindstorms Robotics Kits,36272,Sales Revenue,CC105,Hamleys
LEGO Mindstorms Robotics Kits,36272,Sales Revenue,CC103,Hamleys
LEGO Mindstorms Robotics Kits,36272,Sales Revenue,CC101,John Lewis Partnership
LEGO Mosaic Maker Kits,36272,Sales Revenue,CC104,Carrefour
LEGO Mosaic Maker Kits,36272,Sales Revenue,CC104,Educational Insights
LEGO Mosaic Maker Kits,36272,Sales Revenue,CC103,John Lewis Partnership
LEGO Mosaic Maker Kits,36272,Sales Revenue,CC108,Walmart
LEGO Mosaic Maker Kits,36272,Sales Revenue,CC107,Amazon
LEGO Retail Store Experiences,36272,Sales Revenue,CC102,Smithsonian Institution
LEGO Retail Store Experiences,36272,Sales Revenue,CC101,The LEGO Foundation
LEGO Events & Parties,36272,Sales Revenue,CC108,"Toys ""R"" Us"
LEGO Events & Parties,36272,Sales Revenue,CC106,Walmart
LEGO Events & Parties,36272,Sales Revenue,CC107,Target
LEGO Events & Parties,36272,Sales Revenue,CC103,Hamleys
LEGO Events & Parties,36272,Sales Revenue,CC104,Amazon
LEGO Events & Parties,36272,Sales Revenue,CC106,Amazon
LEGO Branded Home Decor,36272,Sales Revenue,CC102,Hamleys
LEGO Branded Home Decor,36272,Sales Revenue,CC104,Educational Insights
LEGO Branded Home Decor,36272,Sales Revenue,CC104,The LEGO Foundation
LEGO Branded Home Decor,36272,Sales Revenue,CC102,John Lewis Partnership
LEGO Branded Home Decor,36272,Sales Revenue,CC104,Smithsonian Institution
LEGO Branded Home Decor,36272,Sales Revenue,CC108,Amazon
