document_number,debit_credit,date,amount,quantity,account_id,product_id,procurement_id,service_id,vendor_id,customer_id,flow_variant,flow_type
78002775,Credit,2025-04-28,-3740984.79,4156.0,COGS - Raw Materials,,Wood chips (biomass feedstock),,GreenLeaf Biomass,,,
78002318,Credit,2025-11-13,-12552758.54,13947.0,COGS - Raw Materials,,Wood chips (biomass feedstock),,GreenLeaf Biomass,,,
78001111,Credit,2025-02-20,-9009.6,10.0,COGS - Raw Materials,,Wood chips (biomass feedstock),,GreenLeaf Biomass,,,
78002111,Credit,2023-03-05,-15672170.16,17413.0,COGS - Raw Materials,,Wood chips (biomass feedstock),,GreenLeaf Biomass,,,
78002763,Credit,2023-06-25,-2344611.81,2605.0,COGS - Raw Materials,,Wood chips (biomass feedstock),,GreenLeaf Biomass,,,
78001475,Credit,2022-06-02,-343086.37,381.0,COGS - Raw Materials,,Wood chips (biomass feedstock),,GreenLeaf Biomass,,,
78001303,Credit,2021-04-30,-4268957.9,4743.0,COGS - Raw Materials,,Wood chips (biomass feedstock),,GreenLeaf Biomass,,,
78002328,Credit,2023-11-26,-4454679.39,4689.0,COGS - Raw Materials,,Straw pellets,,Harvest Fiber Co.,,,
78001289,Credit,2021-08-26,-26875756.9,28290.0,COGS - Raw Materials,,Straw pellets,,Harvest Fiber Co.,,,
78001207,Credit,2021-02-15,-2882386.66,3034.0,COGS - Raw Materials,,Straw pellets,,Harvest Fiber Co.,,,
78001867,Credit,2025-06-17,-1632558.28,1718.0,COGS - Raw Materials,,Straw pellets,,Harvest Fiber Co.,,,
78002926,Credit,2025-04-15,-1174981.26,1236.0,COGS - Raw Materials,,Straw pellets,,Harvest Fiber Co.,,,
78002809,Credit,2020-09-03,-1921.01,2.0,COGS - Raw Materials,,Straw pellets,,Harvest Fiber Co.,,,
78001581,Credit,2025-12-11,-19622.9,20.0,COGS - Raw Materials,,Straw pellets,,Harvest Fiber Co.,,,
78001369,Credit,2024-06-10,-11642412.31,12255.0,COGS - Raw Materials,,Straw pellets,,Harvest Fiber Co.,,,
78001219,Credit,2025-08-22,-2241038.94,2358.0,COGS - Raw Materials,,Straw pellets,,Harvest Fiber Co.,,,
78002254,Credit,2022-03-10,-278165.18,292.0,COGS - Raw Materials,,Straw pellets,,Harvest Fiber Co.,,,
78001801,Credit,2022-08-02,-1472531.44,1550.0,COGS - Raw Materials,,Straw pellets,,Harvest Fiber Co.,,,
78001818,Credit,2023-06-19,-1301254.97,1369.0,COGS - Raw Materials,,Straw pellets,,Harvest Fiber Co.,,,
78002896,Credit,2023-06-16,-2347393.46,2470.0,COGS - Raw Materials,,Straw pellets,,Harvest Fiber Co.,,,
78001348,Credit,2023-04-03,-4426345.7,4659.0,COGS - Raw Materials,,Straw pellets,,Harvest Fiber Co.,,,
78001254,Credit,2020-06-24,-46176.65,48.0,COGS - Raw Materials,,Straw pellets,,Harvest Fiber Co.,,,
78001451,Credit,2022-11-18,-6517.18,6.0,COGS - Raw Materials,,Straw pellets,,Harvest Fiber Co.,,,
78001141,Credit,2023-08-10,-22625061.53,23815.0,COGS - Raw Materials,,Straw pellets,,Harvest Fiber Co.,,,
78002092,Credit,2021-04-21,-1397144.66,1470.0,COGS - Raw Materials,,Straw pellets,,Harvest Fiber Co.,,,
78001088,Credit,2024-09-11,-1947188.66,2049.0,COGS - Raw Materials,,Straw pellets,,Harvest Fiber Co.,,,
78001870,Credit,2024-08-01,-22928380.54,24135.0,COGS - Raw Materials,,Straw pellets,,Harvest Fiber Co.,,,
78002159,Credit,2020-11-29,-29312145.44,30854.0,COGS - Raw Materials,,Straw pellets,,Harvest Fiber Co.,,,
78002678,Credit,2023-06-25,-355454.2,374.0,COGS - Raw Materials,,Straw pellets,,Harvest Fiber Co.,,,
78002874,Credit,2023-06-18,-94173.58,99.0,COGS - Raw Materials,,Straw pellets,,Harvest Fiber Co.,,,
78002722,Credit,2022-07-19,-82705.96,87.0,COGS - Raw Materials,,Straw pellets,,Harvest Fiber Co.,,,
78001522,Credit,2021-11-15,-46991.48,49.0,COGS - Raw Materials,,Straw pellets,,Harvest Fiber Co.,,,
78001659,Credit,2021-07-14,-10919649.93,11494.0,COGS - Raw Materials,,Straw pellets,,Harvest Fiber Co.,,,
78001950,Credit,2020-05-02,-9192790.17,9676.0,COGS - Raw Materials,,Straw pellets,,Harvest Fiber Co.,,,
78002827,Credit,2022-11-24,-129471.46,136.0,COGS - Raw Materials,,Straw pellets,,Harvest Fiber Co.,,,
78002873,Credit,2022-04-19,-3907109.77,4112.0,COGS - Raw Materials,,Straw pellets,,Harvest Fiber Co.,,,
78001909,Credit,2021-02-19,-6197990.39,6524.0,COGS - Raw Materials,,Straw pellets,,Harvest Fiber Co.,,,
78001441,Credit,2021-12-08,-1094602.21,912.0,COGS - Raw Materials,,Wood pellets,,GreenLeaf Biomass,,,
78001037,Credit,2020-12-12,-9891067.56,8242.0,COGS - Raw Materials,,Wood pellets,,GreenLeaf Biomass,,,
78002880,Credit,2025-09-15,-1904494.53,1587.0,COGS - Raw Materials,,Wood pellets,,GreenLeaf Biomass,,,
78002231,Credit,2024-09-19,-1598305.59,1331.0,COGS - Raw Materials,,Wood pellets,,GreenLeaf Biomass,,,
78001209,Credit,2022-04-28,-17597806.84,14664.0,COGS - Raw Materials,,Wood pellets,,GreenLeaf Biomass,,,
78001512,Credit,2021-06-18,-9903068.29,8252.0,COGS - Raw Materials,,Wood pellets,,GreenLeaf Biomass,,,
78002383,Credit,2024-09-25,-146342.35,121.0,COGS - Raw Materials,,Wood pellets,,GreenLeaf Biomass,,,
78002600,Credit,2025-03-16,-3513307.04,2927.0,COGS - Raw Materials,,Wood pellets,,GreenLeaf Biomass,,,
78002024,Credit,2021-10-25,-1409568.56,1174.0,COGS - Raw Materials,,Wood pellets,,GreenLeaf Biomass,,,
78002778,Credit,2022-11-07,-1403093.32,1169.0,COGS - Raw Materials,,Wood pellets,,GreenLeaf Biomass,,,
78001980,Credit,2020-01-27,-37801315.21,31501.0,COGS - Raw Materials,,Wood pellets,,GreenLeaf Biomass,,,
78001380,Credit,2022-11-18,-5868581.21,4890.0,COGS - Raw Materials,,Wood pellets,,GreenLeaf Biomass,,,
78001827,Credit,2024-08-01,-1183072.79,985.0,COGS - Raw Materials,,Wood pellets,,GreenLeaf Biomass,,,
78002560,Credit,2024-07-16,-6968015.34,5806.0,COGS - Raw Materials,,Wood pellets,,GreenLeaf Biomass,,,
78001858,Credit,2021-10-01,-12095296.55,10079.0,COGS - Raw Materials,,Wood pellets,,GreenLeaf Biomass,,,
78001393,Credit,2024-10-07,-114472.04,95.0,COGS - Raw Materials,,Wood pellets,,GreenLeaf Biomass,,,
78002073,Credit,2020-02-11,-45590.51,37.0,COGS - Raw Materials,,Wood pellets,,GreenLeaf Biomass,,,
78001395,Credit,2024-09-10,-2682705.77,2235.0,COGS - Raw Materials,,Wood pellets,,GreenLeaf Biomass,,,
78002883,Credit,2025-06-09,-1694554.42,1412.0,COGS - Raw Materials,,Wood pellets,,GreenLeaf Biomass,,,
78002776,Credit,2021-12-02,-281367.01,234.0,COGS - Raw Materials,,Wood pellets,,GreenLeaf Biomass,,,
78001031,Credit,2023-12-25,-97345.06,81.0,COGS - Raw Materials,,Wood pellets,,GreenLeaf Biomass,,,
78001544,Credit,2025-10-28,-72857.27,60.0,COGS - Raw Materials,,Wood pellets,,GreenLeaf Biomass,,,
78001711,Credit,2023-06-05,-8072825.64,6727.0,COGS - Raw Materials,,Wood pellets,,GreenLeaf Biomass,,,
78002257,Credit,2025-06-19,-99044.31,82.0,COGS - Raw Materials,,Wood pellets,,GreenLeaf Biomass,,,
78002049,Credit,2022-07-07,-1927629.23,1606.0,COGS - Raw Materials,,Wood pellets,,GreenLeaf Biomass,,,
78002577,Credit,2020-06-13,-13520307.7,11266.0,COGS - Raw Materials,,Wood pellets,,GreenLeaf Biomass,,,
78002457,Credit,2023-12-20,-11246937.85,9372.0,COGS - Raw Materials,,Wood pellets,,GreenLeaf Biomass,,,
78002084,Credit,2022-12-01,-2476498.2,2063.0,COGS - Raw Materials,,Wood pellets,,GreenLeaf Biomass,,,
78001552,Credit,2024-12-25,-170153.75,141.0,COGS - Raw Materials,,Wood pellets,,GreenLeaf Biomass,,,
78002464,Credit,2020-12-01,-1773.87,1.0,COGS - Raw Materials,,Wood pellets,,GreenLeaf Biomass,,,
78002153,Credit,2025-04-08,-19862.24,23.0,COGS - Raw Materials,,Biogas substrate (organic waste),,GreenLeaf Biomass,,,
78002890,Credit,2022-05-30,-86542.73,101.0,COGS - Raw Materials,,Biogas substrate (organic waste),,GreenLeaf Biomass,,,
78002377,Credit,2023-12-24,-4407581.02,5185.0,COGS - Raw Materials,,Biogas substrate (organic waste),,GreenLeaf Biomass,,,
78001197,Credit,2022-08-29,-511467.54,601.0,COGS - Raw Materials,,Biogas substrate (organic waste),,GreenLeaf Biomass,,,
78001798,Credit,2020-01-30,-313247.98,368.0,COGS - Raw Materials,,Biogas substrate (organic waste),,GreenLeaf Biomass,,,
78002686,Credit,2024-03-20,-925.62,1.0,COGS - Raw Materials,,Biogas substrate (organic waste),,GreenLeaf Biomass,,,
78002739,Credit,2021-07-28,-11671.37,13.0,COGS - Raw Materials,,Biogas substrate (organic waste),,GreenLeaf Biomass,,,
78001693,Credit,2020-08-08,-1750038.5,2058.0,COGS - Raw Materials,,Biogas substrate (organic waste),,GreenLeaf Biomass,,,
78002394,Credit,2022-04-06,-34121.89,40.0,COGS - Raw Materials,,Biogas substrate (organic waste),,GreenLeaf Biomass,,,
78002947,Credit,2025-07-06,-2645092.11,3111.0,COGS - Raw Materials,,Biogas substrate (organic waste),,GreenLeaf Biomass,,,
78002742,Credit,2024-02-26,-1294515.04,1522.0,COGS - Raw Materials,,Biogas substrate (organic waste),,GreenLeaf Biomass,,,
78001146,Credit,2022-01-23,-2198376.16,2586.0,COGS - Raw Materials,,Biogas substrate (organic waste),,GreenLeaf Biomass,,,
78002739,Credit,2023-06-30,-12940.75,15.0,COGS - Raw Materials,,Biogas substrate (organic waste),,GreenLeaf Biomass,,,
78001497,Credit,2024-05-06,-17170366.33,20200.0,COGS - Raw Materials,,Biogas substrate (organic waste),,GreenLeaf Biomass,,,
78001047,Credit,2022-10-17,-1300877.71,1530.0,COGS - Raw Materials,,Biogas substrate (organic waste),,GreenLeaf Biomass,,,
78001769,Credit,2024-01-28,-482075.26,567.0,COGS - Raw Materials,,Biogas substrate (organic waste),,GreenLeaf Biomass,,,
78001650,Credit,2025-05-15,-1347199.94,1584.0,COGS - Raw Materials,,Biogas substrate (organic waste),,GreenLeaf Biomass,,,
78002195,Credit,2025-02-05,-24710323.54,29070.0,COGS - Raw Materials,,Biogas substrate (organic waste),,GreenLeaf Biomass,,,
78001612,Credit,2021-03-13,-3546584.74,4172.0,COGS - Raw Materials,,Biogas substrate (organic waste),,GreenLeaf Biomass,,,
78001698,Credit,2021-04-23,-600287.99,706.0,COGS - Raw Materials,,Biogas substrate (organic waste),,GreenLeaf Biomass,,,
78002919,Credit,2022-02-21,-3344334.63,3934.0,COGS - Raw Materials,,Biogas substrate (organic waste),,GreenLeaf Biomass,,,
78002338,Credit,2022-10-04,-11632764.32,13685.0,COGS - Raw Materials,,Biogas substrate (organic waste),,GreenLeaf Biomass,,,
78001375,Credit,2020-03-12,-17043464.83,20051.0,COGS - Raw Materials,,Biogas substrate (organic waste),,GreenLeaf Biomass,,,
78001805,Credit,2021-08-04,-2475989.92,2912.0,COGS - Raw Materials,,Biogas substrate (organic waste),,GreenLeaf Biomass,,,
78001920,Credit,2020-08-07,-14152774.53,16650.0,COGS - Raw Materials,,Biogas substrate (organic waste),,GreenLeaf Biomass,,,
78001874,Credit,2022-10-24,-12811.39,15.0,COGS - Raw Materials,,Biogas substrate (organic waste),,GreenLeaf Biomass,,,
78002556,Credit,2020-10-16,-887986.36,1044.0,COGS - Raw Materials,,Biogas substrate (organic waste),,GreenLeaf Biomass,,,
78001809,Credit,2021-01-14,-2287965.51,2691.0,COGS - Raw Materials,,Biogas substrate (organic waste),,GreenLeaf Biomass,,,
78002443,Credit,2023-10-10,-22744624.97,26758.0,COGS - Raw Materials,,Biogas substrate (organic waste),,GreenLeaf Biomass,,,
78001904,Credit,2025-05-12,-7100185.08,8353.0,COGS - Raw Materials,,Biogas substrate (organic waste),,GreenLeaf Biomass,,,
78002419,Credit,2025-10-28,-1498342.96,332.0,COGS - Raw Materials,,Anaerobic digestion enzymes,,MicroEnzyme Partners,,,
78002545,Credit,2020-03-06,-27674.11,6.0,COGS - Raw Materials,,Anaerobic digestion enzymes,,MicroEnzyme Partners,,,
78002210,Credit,2025-12-23,-8559833.37,1902.0,COGS - Raw Materials,,Anaerobic digestion enzymes,,MicroEnzyme Partners,,,
78002005,Credit,2021-02-02,-6836392.07,1519.0,COGS - Raw Materials,,Anaerobic digestion enzymes,,MicroEnzyme Partners,,,
78002668,Credit,2020-12-12,-10551629.67,2344.0,COGS - Raw Materials,,Anaerobic digestion enzymes,,MicroEnzyme Partners,,,
78001032,Credit,2025-06-07,-24973703.31,5549.0,COGS - Raw Materials,,Anaerobic digestion enzymes,,MicroEnzyme Partners,,,
78001068,Credit,2025-10-07,-455206.0,101.0,COGS - Raw Materials,,Anaerobic digestion enzymes,,MicroEnzyme Partners,,,
78001591,Credit,2022-02-16,-3508441.42,779.0,COGS - Raw Materials,,Anaerobic digestion enzymes,,MicroEnzyme Partners,,,
78002214,Credit,2025-03-18,-112285.91,24.0,COGS - Raw Materials,,Anaerobic digestion enzymes,,MicroEnzyme Partners,,,
78001100,Credit,2020-03-19,-2361134.92,524.0,COGS - Raw Materials,,Anaerobic digestion enzymes,,MicroEnzyme Partners,,,
78002508,Credit,2024-04-30,-2359772.28,524.0,COGS - Raw Materials,,Anaerobic digestion enzymes,,MicroEnzyme Partners,,,
78002308,Credit,2024-11-13,-2680224.9,595.0,COGS - Raw Materials,,Anaerobic digestion enzymes,,MicroEnzyme Partners,,,
78001913,Credit,2025-12-02,-12534723.69,2785.0,COGS - Raw Materials,,Anaerobic digestion enzymes,,MicroEnzyme Partners,,,
78001732,Credit,2022-09-12,-156387.2,34.0,COGS - Raw Materials,,Anaerobic digestion enzymes,,MicroEnzyme Partners,,,
78001389,Credit,2024-01-25,-6394536.53,1421.0,COGS - Raw Materials,,Anaerobic digestion enzymes,,MicroEnzyme Partners,,,
78002588,Credit,2024-07-07,-5059389.53,1124.0,COGS - Raw Materials,,Anaerobic digestion enzymes,,MicroEnzyme Partners,,,
78001159,Credit,2025-12-13,-1070251.64,237.0,COGS - Raw Materials,,Anaerobic digestion enzymes,,MicroEnzyme Partners,,,
78001891,Credit,2024-06-13,-1339694.02,297.0,COGS - Raw Materials,,Anaerobic digestion enzymes,,MicroEnzyme Partners,,,
78002577,Credit,2022-08-22,-15309178.74,3402.0,COGS - Raw Materials,,Anaerobic digestion enzymes,,MicroEnzyme Partners,,,
78002070,Credit,2022-04-08,-2302175.01,511.0,COGS - Raw Materials,,Anaerobic digestion enzymes,,MicroEnzyme Partners,,,
78002182,Credit,2023-04-12,-1369219.26,304.0,COGS - Raw Materials,,Anaerobic digestion enzymes,,MicroEnzyme Partners,,,
78002469,Credit,2024-09-14,-11415669.71,2536.0,COGS - Raw Materials,,Anaerobic digestion enzymes,,MicroEnzyme Partners,,,
78001695,Credit,2023-05-13,-188348.27,41.0,COGS - Raw Materials,,Anaerobic digestion enzymes,,MicroEnzyme Partners,,,
78001757,Credit,2025-01-14,-2108765.99,468.0,COGS - Raw Materials,,Anaerobic digestion enzymes,,MicroEnzyme Partners,,,
78001522,Credit,2021-05-12,-1835587.67,407.0,COGS - Raw Materials,,Anaerobic digestion enzymes,,MicroEnzyme Partners,,,
78002689,Credit,2021-06-20,-2113068.71,469.0,COGS - Raw Materials,,Anaerobic digestion enzymes,,MicroEnzyme Partners,,,
78001731,Credit,2025-08-25,-3737664.42,830.0,COGS - Raw Materials,,Anaerobic digestion enzymes,,MicroEnzyme Partners,,,
78001154,Credit,2023-03-10,-50113.72,11.0,COGS - Raw Materials,,Anaerobic digestion enzymes,,MicroEnzyme Partners,,,
78001338,Credit,2025-05-25,-142765.69,31.0,COGS - Raw Materials,,Anaerobic digestion enzymes,,MicroEnzyme Partners,,,
78002976,Credit,2020-10-26,-167819.28,37.0,COGS - Raw Materials,,Anaerobic digestion enzymes,,MicroEnzyme Partners,,,
78002388,Credit,2020-10-29,-436441.34,0.0,COGS - Raw Materials,,High-pressure steam turbines,,Precision Vessel Ltd.,,,
78001794,Credit,2021-08-14,-21918110.38,8.0,COGS - Raw Materials,,High-pressure steam turbines,,Precision Vessel Ltd.,,,
78002722,Credit,2020-03-16,-6540160.96,2.0,COGS - Raw Materials,,High-pressure steam turbines,,Precision Vessel Ltd.,,,
78002597,Credit,2022-07-02,-487825.56,0.0,COGS - Raw Materials,,High-pressure steam turbines,,Precision Vessel Ltd.,,,
78002171,Credit,2022-02-18,-376526.18,0.0,COGS - Raw Materials,,High-pressure steam turbines,,Precision Vessel Ltd.,,,
78001898,Credit,2022-07-09,-413383.91,0.0,COGS - Raw Materials,,High-pressure steam turbines,,Precision Vessel Ltd.,,,
78002167,Credit,2024-03-03,-192003.22,0.0,COGS - Raw Materials,,High-pressure steam turbines,,Precision Vessel Ltd.,,,
78001102,Credit,2024-10-15,-561689.1,0.0,COGS - Raw Materials,,High-pressure steam turbines,,Precision Vessel Ltd.,,,
78001811,Credit,2025-07-28,-3343736.5,1.0,COGS - Raw Materials,,High-pressure steam turbines,,Precision Vessel Ltd.,,,
78001092,Credit,2022-10-02,-20389.61,0.0,COGS - Raw Materials,,High-pressure steam turbines,,Precision Vessel Ltd.,,,
78001974,Credit,2024-08-28,-18604510.8,7.0,COGS - Raw Materials,,High-pressure steam turbines,,Precision Vessel Ltd.,,,
78002309,Credit,2022-03-14,-49218.08,0.0,COGS - Raw Materials,,High-pressure steam turbines,,Precision Vessel Ltd.,,,
78002447,Credit,2022-11-17,-12513504.81,5.0,COGS - Raw Materials,,High-pressure steam turbines,,Precision Vessel Ltd.,,,
78001118,Credit,2022-05-21,-449207.78,0.0,COGS - Raw Materials,,High-pressure steam turbines,,Precision Vessel Ltd.,,,
78002984,Credit,2020-04-24,-1810783.82,0.0,COGS - Raw Materials,,High-pressure steam turbines,,Precision Vessel Ltd.,,,
78001028,Credit,2021-01-07,-5318677.06,2.0,COGS - Raw Materials,,High-pressure steam turbines,,Precision Vessel Ltd.,,,
78002012,Credit,2022-04-29,-2822566.96,1.0,COGS - Raw Materials,,High-pressure steam turbines,,Precision Vessel Ltd.,,,
78002534,Credit,2025-11-07,-17753.75,0.0,COGS - Raw Materials,,High-pressure steam turbines,,Precision Vessel Ltd.,,,
78002053,Credit,2022-01-26,-7989271.33,3.0,COGS - Raw Materials,,High-pressure steam turbines,,Precision Vessel Ltd.,,,
78001871,Credit,2023-08-14,-3456075.66,1.0,COGS - Raw Materials,,High-pressure steam turbines,,Precision Vessel Ltd.,,,
78002389,Credit,2020-01-31,-151536.88,0.0,COGS - Raw Materials,,High-pressure steam turbines,,Precision Vessel Ltd.,,,
78001799,Credit,2025-01-26,-3758361.08,1.0,COGS - Raw Materials,,High-pressure steam turbines,,Precision Vessel Ltd.,,,
78002161,Credit,2024-12-10,-956412.34,0.0,COGS - Raw Materials,,High-pressure steam turbines,,Precision Vessel Ltd.,,,
78001474,Credit,2023-12-07,-5314.99,0.0,COGS - Raw Materials,,High-pressure steam turbines,,Precision Vessel Ltd.,,,
78001562,Credit,2021-11-20,-589878.78,0.0,COGS - Raw Materials,,High-pressure steam turbines,,Precision Vessel Ltd.,,,
78002415,Credit,2023-04-29,-189232.02,0.0,COGS - Raw Materials,,High-pressure steam turbines,,Precision Vessel Ltd.,,,
78001434,Credit,2021-04-01,-4807188.98,1.0,COGS - Raw Materials,,High-pressure steam turbines,,Precision Vessel Ltd.,,,
78001803,Credit,2021-03-24,-11454686.7,4.0,COGS - Raw Materials,,High-pressure steam turbines,,Precision Vessel Ltd.,,,
78002257,Credit,2020-03-08,-99677.67,0.0,COGS - Raw Materials,,High-pressure steam turbines,,Precision Vessel Ltd.,,,
78001054,Credit,2025-02-05,-4676873.77,1.0,COGS - Raw Materials,,High-pressure steam turbines,,Precision Vessel Ltd.,,,
78001930,Credit,2024-12-07,-508707.1,23.0,COGS - Raw Materials,,Industrial filtration membranes,,PureLine Filtration,,,
78002315,Credit,2024-12-10,-2857270.38,129.0,COGS - Raw Materials,,Industrial filtration membranes,,PureLine Filtration,,,
78001751,Credit,2022-05-23,-801037.26,36.0,COGS - Raw Materials,,Industrial filtration membranes,,PureLine Filtration,,,
78001311,Credit,2021-04-11,-2419232.48,109.0,COGS - Raw Materials,,Industrial filtration membranes,,PureLine Filtration,,,
78002571,Credit,2020-05-07,-65442.93,2.0,COGS - Raw Materials,,Industrial filtration membranes,,PureLine Filtration,,,
78002112,Credit,2024-12-04,-382153.38,17.0,COGS - Raw Materials,,Industrial filtration membranes,,PureLine Filtration,,,
78002235,Credit,2022-01-02,-219880.4,9.0,COGS - Raw Materials,,Industrial filtration membranes,,PureLine Filtration,,,
78001956,Credit,2023-06-21,-189881.51,8.0,COGS - Raw Materials,,Industrial filtration membranes,,PureLine Filtration,,,
78001317,Credit,2025-04-12,-40665.95,1.0,COGS - Raw Materials,,Industrial filtration membranes,,PureLine Filtration,,,
78002900,Credit,2022-11-08,-1063958.65,48.0,COGS - Raw Materials,,Industrial filtration membranes,,PureLine Filtration,,,
78001756,Credit,2023-11-20,-79296.58,3.0,COGS - Raw Materials,,Industrial filtration membranes,,PureLine Filtration,,,
78001464,Credit,2021-01-02,-22755644.99,1034.0,COGS - Raw Materials,,Industrial filtration membranes,,PureLine Filtration,,,
78002110,Credit,2025-10-06,-6351977.73,288.0,COGS - Raw Materials,,Industrial filtration membranes,,PureLine Filtration,,,
78002432,Credit,2025-09-26,-184475.12,8.0,COGS - Raw Materials,,Industrial filtration membranes,,PureLine Filtration,,,
78002263,Credit,2022-03-22,-13811132.73,627.0,COGS - Raw Materials,,Industrial filtration membranes,,PureLine Filtration,,,
78002855,Credit,2020-02-28,-2105256.97,95.0,COGS - Raw Materials,,Industrial filtration membranes,,PureLine Filtration,,,
78001699,Credit,2020-06-09,-4971917.16,225.0,COGS - Raw Materials,,Industrial filtration membranes,,PureLine Filtration,,,
78002080,Credit,2020-04-12,-661829.99,30.0,COGS - Raw Materials,,Industrial filtration membranes,,PureLine Filtration,,,
78002136,Credit,2022-04-25,-1628087.95,74.0,COGS - Raw Materials,,Industrial filtration membranes,,PureLine Filtration,,,
78001734,Credit,2021-02-15,-83306.54,3.0,COGS - Raw Materials,,Industrial filtration membranes,,PureLine Filtration,,,
78002093,Credit,2022-02-24,-526261.21,23.0,COGS - Raw Materials,,Industrial filtration membranes,,PureLine Filtration,,,
78001738,Credit,2020-07-01,-150522.55,6.0,COGS - Raw Materials,,Industrial filtration membranes,,PureLine Filtration,,,
78001767,Credit,2025-08-08,-715741.21,32.0,COGS - Raw Materials,,Industrial filtration membranes,,PureLine Filtration,,,
78002715,Credit,2022-08-14,-25371.86,1.0,COGS - Raw Materials,,Industrial filtration membranes,,PureLine Filtration,,,
78002207,Credit,2021-03-12,-656421.0,29.0,COGS - Raw Materials,,Industrial filtration membranes,,PureLine Filtration,,,
78002726,Credit,2025-01-13,-409611.6,18.0,COGS - Raw Materials,,Industrial filtration membranes,,PureLine Filtration,,,
78002987,Credit,2021-08-28,-4753518.58,216.0,COGS - Raw Materials,,Industrial filtration membranes,,PureLine Filtration,,,
78001743,Credit,2024-01-10,-1404819.4,63.0,COGS - Raw Materials,,Industrial filtration membranes,,PureLine Filtration,,,
78001275,Credit,2021-05-11,-768846.59,34.0,COGS - Raw Materials,,Industrial filtration membranes,,PureLine Filtration,,,
78001232,Credit,2023-09-28,-6848730.21,311.0,COGS - Raw Materials,,Industrial filtration membranes,,PureLine Filtration,,,
78001053,Credit,2025-01-25,-95630.75,0.0,COGS - Production Utilities,,Combined heat and power (CHP) units,,PureSpace Utilities,,,
78001256,Credit,2022-10-19,-27369.65,0.0,COGS - Production Utilities,,Combined heat and power (CHP) units,,PureSpace Utilities,,,
78001089,Credit,2024-11-07,-2086837.21,1.0,COGS - Production Utilities,,Combined heat and power (CHP) units,,PureSpace Utilities,,,
78002761,Credit,2024-01-29,-120925.36,0.0,COGS - Production Utilities,,Combined heat and power (CHP) units,,PureSpace Utilities,,,
