document_number,date,currency,amount,quantity,type,account_id,account_name,product_id,procurement_id,service_id,vendor_name
78001245,2023-10-16,EUR,-1085704.68,0.0,Credit,49148,COGS - Materials,,Combined Heat and Power (CHP) modules,,BioFlow Machinery
78002314,2024-04-23,DKK,-19913980.96,13.0,Credit,49148,COGS - Materials,,Combined Heat and Power (CHP) modules,,BioFlow Machinery
78001111,2022-05-22,EUR,-2858182.77,1.0,Credit,49148,COGS - Materials,,Combined Heat and Power (CHP) modules,,BioFlow Machinery
78002738,2020-06-17,EUR,-483770.42,0.0,Credit,49148,COGS - Materials,,Combined Heat and Power (CHP) modules,,BioFlow Machinery
78002193,2024-01-22,DKK,-2695189.97,1.0,Credit,49148,COGS - Materials,,Combined Heat and Power (CHP) modules,,BioFlow Machinery
78002622,2024-05-22,EUR,-9374812.39,6.0,Credit,49148,COGS - Materials,,Combined Heat and Power (CHP) modules,,BioFlow Machinery
78002654,2022-10-27,DKK,-13735280.86,9.0,Credit,49148,COGS - Materials,,Combined Heat and Power (CHP) modules,,BioFlow Machinery
78002633,2024-09-30,DKK,-1995393.38,1.0,Credit,49148,COGS - Materials,,Combined Heat and Power (CHP) modules,,BioFlow Machinery
78002263,2020-12-12,EUR,-11405681.6,7.0,Credit,49148,COGS - Materials,,Combined Heat and Power (CHP) modules,,BioFlow Machinery
78002360,2022-01-04,DKK,-10324.67,0.0,Credit,49148,COGS - Materials,,Combined Heat and Power (CHP) modules,,BioFlow Machinery
78002161,2023-06-30,DKK,-715625.73,0.0,Credit,49148,COGS - Materials,,Combined Heat and Power (CHP) modules,,BioFlow Machinery
78002617,2021-06-26,DKK,-1843865.03,1.0,Credit,49148,COGS - Materials,,Combined Heat and Power (CHP) modules,,BioFlow Machinery
78002259,2020-12-20,DKK,-18329829.96,12.0,Credit,49148,COGS - Materials,,Combined Heat and Power (CHP) modules,,BioFlow Machinery
78002671,2021-12-13,DKK,-5722019.39,3.0,Credit,49148,COGS - Materials,,Combined Heat and Power (CHP) modules,,BioFlow Machinery
78001793,2021-08-06,DKK,-868878.07,0.0,Credit,49148,COGS - Materials,,Combined Heat and Power (CHP) modules,,BioFlow Machinery
78002026,2021-05-25,DKK,-16048.01,0.0,Credit,49148,COGS - Materials,,Combined Heat and Power (CHP) modules,,BioFlow Machinery
78002594,2022-08-04,DKK,-4963784.46,3.0,Credit,49148,COGS - Materials,,Combined Heat and Power (CHP) modules,,BioFlow Machinery
78001115,2023-04-13,EUR,-3964373.52,2.0,Credit,49148,COGS - Materials,,Combined Heat and Power (CHP) modules,,BioFlow Machinery
78002495,2020-03-18,EUR,-6118812.5,4.0,Credit,49148,COGS - Materials,,Combined Heat and Power (CHP) modules,,BioFlow Machinery
78002154,2021-03-15,EUR,-21983660.88,977.0,Credit,49148,COGS - Materials,,Fermentation tank steel plates,,BioFlow Machinery
78001933,2024-11-10,DKK,-400705.27,17.0,Credit,49148,COGS - Materials,,Fermentation tank steel plates,,BioFlow Machinery
78002921,2023-05-01,DKK,-3088384.03,137.0,Credit,49148,COGS - Materials,,Fermentation tank steel plates,,BioFlow Machinery
78002506,2023-07-14,DKK,-98842.18,4.0,Credit,49148,COGS - Materials,,Fermentation tank steel plates,,BioFlow Machinery
78002424,2020-05-05,EUR,-2078441.82,92.0,Credit,49148,COGS - Materials,,Fermentation tank steel plates,,BioFlow Machinery
78002224,2024-10-04,DKK,-2077242.32,92.0,Credit,49148,COGS - Materials,,Fermentation tank steel plates,,BioFlow Machinery
78001291,2021-05-16,EUR,-2359327.91,104.0,Credit,49148,COGS - Materials,,Fermentation tank steel plates,,BioFlow Machinery
78001341,2021-01-21,DKK,-11033970.88,490.0,Credit,49148,COGS - Materials,,Fermentation tank steel plates,,BioFlow Machinery
78002014,2021-02-15,EUR,-137663.33,6.0,Credit,49148,COGS - Materials,,Fermentation tank steel plates,,BioFlow Machinery
78002633,2023-10-01,EUR,-5628933.8,250.0,Credit,49148,COGS - Materials,,Fermentation tank steel plates,,BioFlow Machinery
78002239,2025-06-29,DKK,-4453640.79,197.0,Credit,49148,COGS - Materials,,Fermentation tank steel plates,,BioFlow Machinery
78002659,2023-01-22,DKK,-942112.94,41.0,Credit,49148,COGS - Materials,,Fermentation tank steel plates,,BioFlow Machinery
78001584,2025-11-17,EUR,-1179295.62,52.0,Credit,49148,COGS - Materials,,Fermentation tank steel plates,,BioFlow Machinery
78002389,2023-08-31,EUR,-13476246.98,598.0,Credit,49148,COGS - Materials,,Fermentation tank steel plates,,BioFlow Machinery
78002913,2025-09-03,EUR,-2026541.04,90.0,Credit,49148,COGS - Materials,,Fermentation tank steel plates,,BioFlow Machinery
78002665,2025-04-25,EUR,-1205285.88,53.0,Credit,49148,COGS - Materials,,Fermentation tank steel plates,,BioFlow Machinery
78002492,2020-12-18,EUR,-10048898.57,446.0,Credit,49148,COGS - Materials,,Fermentation tank steel plates,,BioFlow Machinery
78002441,2022-05-18,EUR,-165797.78,7.0,Credit,49148,COGS - Materials,,Fermentation tank steel plates,,BioFlow Machinery
78001026,2023-07-26,EUR,-1856288.43,82.0,Credit,49148,COGS - Materials,,Fermentation tank steel plates,,BioFlow Machinery
78002700,2022-04-26,EUR,-1615817.1,71.0,Credit,49148,COGS - Materials,,Fermentation tank steel plates,,BioFlow Machinery
78001454,2023-01-07,DKK,-1860075.99,82.0,Credit,49148,COGS - Materials,,Fermentation tank steel plates,,BioFlow Machinery
78001917,2023-12-18,EUR,-3290162.7,146.0,Credit,49148,COGS - Materials,,Fermentation tank steel plates,,BioFlow Machinery
78001579,2021-06-09,EUR,-44113.73,1.0,Credit,49148,COGS - Materials,,Fermentation tank steel plates,,BioFlow Machinery
78001013,2024-08-06,EUR,-125672.69,5.0,Credit,49148,COGS - Materials,,Fermentation tank steel plates,,BioFlow Machinery
78001097,2025-02-21,EUR,-147726.68,6.0,Credit,49148,COGS - Materials,,Fermentation tank steel plates,,BioFlow Machinery
78001278,2020-01-10,DKK,-253559.72,11.0,Credit,49148,COGS - Materials,,Fermentation tank steel plates,,BioFlow Machinery
78002963,2023-07-07,EUR,-12733784.48,565.0,Credit,49148,COGS - Materials,,Fermentation tank steel plates,,BioFlow Machinery
78001489,2024-06-07,EUR,-3799643.25,168.0,Credit,49148,COGS - Materials,,Fermentation tank steel plates,,BioFlow Machinery
78001984,2025-02-26,DKK,-283412.46,12.0,Credit,49148,COGS - Materials,,Fermentation tank steel plates,,BioFlow Machinery
78001960,2022-11-24,DKK,-218750.76,9.0,Credit,49148,COGS - Materials,,Fermentation tank steel plates,,BioFlow Machinery
78002906,2023-03-16,DKK,-439544.14,0.0,Credit,49148,COGS - Materials,,Steam turbine assemblies,,BioFlow Machinery
78002782,2024-05-11,EUR,-204153.79,0.0,Credit,49148,COGS - Materials,,Steam turbine assemblies,,BioFlow Machinery
78001623,2025-04-11,DKK,-597234.56,0.0,Credit,49148,COGS - Materials,,Steam turbine assemblies,,BioFlow Machinery
78001206,2021-11-05,DKK,-3555338.71,1.0,Credit,49148,COGS - Materials,,Steam turbine assemblies,,BioFlow Machinery
78002887,2025-02-21,EUR,-21679.93,0.0,Credit,49148,COGS - Materials,,Steam turbine assemblies,,BioFlow Machinery
78002869,2025-12-01,DKK,-19781863.02,10.0,Credit,49148,COGS - Materials,,Steam turbine assemblies,,BioFlow Machinery
78002256,2022-10-08,EUR,-52332.75,0.0,Credit,49148,COGS - Materials,,Steam turbine assemblies,,BioFlow Machinery
78002596,2022-03-04,DKK,-13305398.93,7.0,Credit,49148,COGS - Materials,,Steam turbine assemblies,,BioFlow Machinery
78001596,2020-08-20,EUR,-477635.07,0.0,Credit,49148,COGS - Materials,,Steam turbine assemblies,,BioFlow Machinery
78001694,2024-08-28,EUR,-1925375.94,1.0,Credit,49148,COGS - Materials,,Steam turbine assemblies,,BioFlow Machinery
78002262,2023-09-07,EUR,-5655259.75,3.0,Credit,49148,COGS - Materials,,Steam turbine assemblies,,BioFlow Machinery
78001249,2025-12-13,EUR,-3001187.91,1.0,Credit,49148,COGS - Materials,,Steam turbine assemblies,,BioFlow Machinery
78002606,2021-05-25,EUR,-18877.26,0.0,Credit,49148,COGS - Materials,,Steam turbine assemblies,,BioFlow Machinery
78001739,2024-02-16,DKK,-8494857.66,4.0,Credit,49148,COGS - Materials,,Steam turbine assemblies,,BioFlow Machinery
78002620,2022-03-08,EUR,-3674787.05,1.0,Credit,49148,COGS - Materials,,Steam turbine assemblies,,BioFlow Machinery
78001305,2023-07-30,EUR,-161126.61,0.0,Credit,49148,COGS - Materials,,Steam turbine assemblies,,BioFlow Machinery
78002931,2021-01-26,EUR,-3996202.04,2.0,Credit,49148,COGS - Materials,,Steam turbine assemblies,,BioFlow Machinery
78002486,2021-01-16,EUR,-1016937.13,0.0,Credit,49148,COGS - Materials,,Steam turbine assemblies,,BioFlow Machinery
78002806,2021-08-28,EUR,-5651.34,0.0,Credit,49148,COGS - Materials,,Steam turbine assemblies,,BioFlow Machinery
78002936,2020-04-25,EUR,-627208.18,0.0,Credit,49148,COGS - Materials,,Steam turbine assemblies,,BioFlow Machinery
78002825,2021-05-23,DKK,-201207.22,0.0,Credit,49148,COGS - Materials,,Steam turbine assemblies,,BioFlow Machinery
78002259,2024-01-03,EUR,-5111403.08,2.0,Credit,49148,COGS - Materials,,Steam turbine assemblies,,BioFlow Machinery
78002314,2022-11-13,EUR,-12179575.46,6.0,Credit,49148,COGS - Materials,,Steam turbine assemblies,,BioFlow Machinery
78002062,2022-02-14,DKK,-105985.59,0.0,Credit,49148,COGS - Materials,,Steam turbine assemblies,,BioFlow Machinery
78001997,2022-12-02,DKK,-4972841.12,2.0,Credit,49148,COGS - Materials,,Steam turbine assemblies,,BioFlow Machinery
78001717,2023-04-08,EUR,-1129680.3,0.0,Credit,49148,COGS - Materials,,Steam turbine assemblies,,BioFlow Machinery
78001182,2020-12-05,EUR,-6345109.17,3.0,Credit,49148,COGS - Materials,,Steam turbine assemblies,,BioFlow Machinery
78002722,2020-06-17,EUR,-1778854.72,0.0,Credit,49148,COGS - Materials,,Steam turbine assemblies,,BioFlow Machinery
78001644,2025-01-12,DKK,-5372363.17,2.0,Credit,49148,COGS - Materials,,Steam turbine assemblies,,BioFlow Machinery
78001029,2024-04-10,DKK,-145328.41,0.0,Credit,49148,COGS - Materials,,Steam turbine assemblies,,BioFlow Machinery
78002411,2025-12-30,EUR,-399038.3,1.0,Credit,49148,COGS - Materials,,Industrial heat exchangers,,BioFlow Machinery
78001766,2021-07-28,DKK,-229595.52,1.0,Credit,49148,COGS - Materials,,Industrial heat exchangers,,BioFlow Machinery
78002166,2024-06-16,EUR,-198271.16,0.0,Credit,49148,COGS - Materials,,Industrial heat exchangers,,BioFlow Machinery
78001614,2024-10-08,DKK,-42462.72,0.0,Credit,49148,COGS - Materials,,Industrial heat exchangers,,BioFlow Machinery
78002442,2021-04-19,DKK,-1110968.2,5.0,Credit,49148,COGS - Materials,,Industrial heat exchangers,,BioFlow Machinery
78002004,2021-06-14,DKK,-82800.19,0.0,Credit,49148,COGS - Materials,,Industrial heat exchangers,,BioFlow Machinery
78001073,2022-09-17,EUR,-23761072.0,108.0,Credit,49148,COGS - Materials,,Industrial heat exchangers,,BioFlow Machinery
78002078,2025-10-21,DKK,-6632631.16,30.0,Credit,49148,COGS - Materials,,Industrial heat exchangers,,BioFlow Machinery
78001961,2023-11-18,DKK,-192625.9,0.0,Credit,49148,COGS - Materials,,Industrial heat exchangers,,BioFlow Machinery
78002771,2022-05-18,DKK,-14421358.71,65.0,Credit,49148,COGS - Materials,,Industrial heat exchangers,,BioFlow Machinery
78002595,2024-11-16,DKK,-2198274.87,10.0,Credit,49148,COGS - Materials,,Industrial heat exchangers,,BioFlow Machinery
78001023,2020-11-08,EUR,-5191594.5,23.0,Credit,49148,COGS - Materials,,Industrial heat exchangers,,BioFlow Machinery
78002045,2024-01-01,EUR,-691072.04,3.0,Credit,49148,COGS - Materials,,Industrial heat exchangers,,BioFlow Machinery
78001427,2022-08-09,DKK,-1700022.79,7.0,Credit,49148,COGS - Materials,,Industrial heat exchangers,,BioFlow Machinery
78002055,2022-10-09,EUR,-86987.33,0.0,Credit,49148,COGS - Materials,,Industrial heat exchangers,,BioFlow Machinery
78001862,2022-08-22,DKK,-549513.34,2.0,Credit,49148,COGS - Materials,,Industrial heat exchangers,,BioFlow Machinery
78001338,2025-11-04,DKK,-157173.19,0.0,Credit,49148,COGS - Materials,,Industrial heat exchangers,,BioFlow Machinery
78002970,2020-12-24,EUR,-747365.25,3.0,Credit,49148,COGS - Materials,,Industrial heat exchangers,,BioFlow Machinery
78002538,2021-11-25,EUR,-26492.88,0.0,Credit,49148,COGS - Materials,,Industrial heat exchangers,,BioFlow Machinery
78001511,2023-11-09,EUR,-685424.07,3.0,Credit,49148,COGS - Materials,,Industrial heat exchangers,,BioFlow Machinery
78002093,2023-02-15,EUR,-427709.72,1.0,Credit,49148,COGS - Materials,,Industrial heat exchangers,,BioFlow Machinery
78001671,2021-05-12,DKK,-4963546.28,22.0,Credit,49148,COGS - Materials,,Industrial heat exchangers,,BioFlow Machinery
78002921,2022-06-26,EUR,-1466889.42,6.0,Credit,49148,COGS - Materials,,Industrial heat exchangers,,BioFlow Machinery
78002111,2021-04-06,EUR,-802817.03,3.0,Credit,49148,COGS - Materials,,Industrial heat exchangers,,BioFlow Machinery
78001876,2024-06-05,DKK,-7151331.97,32.0,Credit,49148,COGS - Materials,,Industrial heat exchangers,,BioFlow Machinery
78001570,2021-02-20,DKK,-101909.93,0.0,Credit,49148,COGS - Materials,,Industrial heat exchangers,,BioFlow Machinery
78001763,2024-01-30,DKK,-29166.76,0.0,Credit,49148,COGS - Materials,,Industrial heat exchangers,,BioFlow Machinery
78002242,2024-02-14,DKK,-2223860.36,10.0,Credit,49148,COGS - Materials,,Industrial heat exchangers,,BioFlow Machinery
78001712,2023-10-20,DKK,-128865.4,0.0,Credit,49148,COGS - Materials,,Industrial heat exchangers,,BioFlow Machinery
78001588,2020-09-28,EUR,-268159.01,1.0,Credit,49148,COGS - Materials,,Industrial heat exchangers,,BioFlow Machinery
78001766,2021-01-26,DKK,-146752.17,10.0,Credit,49148,COGS - Materials,,Activated carbon filters,,EcoSynth Solutions
78002782,2021-12-25,EUR,-2668994.82,190.0,Credit,49148,COGS - Materials,,Activated carbon filters,,EcoSynth Solutions
78002293,2024-10-12,DKK,-700275.47,50.0,Credit,49148,COGS - Materials,,Activated carbon filters,,EcoSynth Solutions
