DocumentNumber,Date,Currency,AmountDKK,AmountEUR,Type,GLAccount,CostCenter,Department,ItemName,SourceType
78003000,2025-11-11,EUR,4040.78,542.39,Debit,97086,CC105,Human Resources,287,Payroll
78003000,2025-01-07,EUR,17542.71,2354.73,Debit,95842,CC100,Research & Development,299,Payroll
78003000,2025-02-11,EUR,105407.51,14148.66,Debit,95842,CC100,Research & Development,313,Payroll
78003000,2025-02-04,EUR,18988.92,2548.85,Debit,95842,CC103,Production,313,Payroll
78003000,2025-03-07,EUR,247.21,33.18,Debit,95842,CC108,IT Services,313,Payroll
78003000,2025-08-23,EUR,-5813.34,-780.31,Credit,95842,CC105,Human Resources,360,Payroll
78003000,2025-05-25,EUR,-17316.39,-2324.35,Credit,97086,CC107,Supply Chain Management,360,Payroll
78003000,2025-11-19,EUR,499.43,67.04,Debit,92767,CC102,Sales,360,Payroll
78003000,2025-04-25,EUR,-305.23,-40.97,Credit,95842,CC102,Sales,386,Payroll
78003000,2025-01-18,EUR,-21731.44,-2916.97,Credit,92767,CC108,IT Services,389,Payroll
78003000,2025-02-24,EUR,-1160.08,-155.72,Credit,97086,CC102,Sales,389,Payroll
78003000,2025-02-20,EUR,-11927.88,-1601.06,Credit,95842,CC104,Finance,399,Payroll
78003000,2025-03-19,EUR,-27289.94,-3663.08,Credit,95842,CC104,Finance,399,Payroll
78003000,2025-07-24,EUR,32827.82,4406.42,Debit,97086,CC100,Research & Development,429,Payroll
78003000,2025-02-19,EUR,3768.14,505.79,Debit,97086,CC100,Research & Development,429,Payroll
78003000,2025-08-30,EUR,2024.76,271.78,Debit,92767,CC102,Sales,450,Payroll
78003000,2025-07-13,EUR,-12031.26,-1614.93,Credit,92767,CC102,Sales,461,Payroll
78003000,2025-02-26,EUR,-71562.54,-9605.71,Credit,92767,CC102,Sales,461,Payroll
78003000,2025-04-02,EUR,-4283.2,-574.93,Credit,97086,CC101,Marketing,461,Payroll
78003000,2025-01-24,EUR,119.04,15.98,Debit,92767,CC102,Sales,461,Payroll
78003000,2025-07-30,EUR,-26308.26,-3531.31,Credit,97086,CC109,Legal & Compliance,465,Payroll
78003000,2025-10-29,EUR,34790.33,4669.84,Debit,95842,CC101,Marketing,465,Payroll
78003000,2025-10-24,EUR,26308.26,3531.31,Debit,95842,CC101,Marketing,465,Payroll
78003000,2025-09-16,EUR,-170883.36,-22937.36,Credit,97086,CC107,Supply Chain Management,513,Payroll
78003000,2025-12-24,EUR,-11103.18,-1490.36,Credit,95842,CC105,Human Resources,513,Payroll
78003000,2025-08-26,EUR,82208.01,11034.63,Debit,92767,CC108,IT Services,513,Payroll
78003000,2025-01-04,EUR,-53407.6,-7168.81,Credit,95842,CC106,Customer Support,547,Payroll
78003000,2025-08-06,EUR,-60694.77,-8146.95,Credit,95842,CC104,Finance,579,Payroll
78003000,2025-07-04,EUR,-49478.12,-6641.36,Credit,95842,CC104,Finance,579,Payroll
78003000,2025-03-03,EUR,-23947.63,-3214.45,Credit,97086,CC100,Research & Development,590,Payroll
78003000,2025-07-30,EUR,6622.1,888.87,Debit,92767,CC107,Supply Chain Management,590,Payroll
78003000,2025-03-08,EUR,-15624.99,-2097.31,Credit,92767,CC107,Supply Chain Management,618,Payroll
78003000,2025-12-08,EUR,25303.96,3396.5,Debit,95842,CC107,Supply Chain Management,618,Payroll
78003000,2025-10-21,EUR,23635.45,3172.54,Debit,95842,CC102,Sales,618,Payroll
78003000,2025-09-08,EUR,-15650.24,-2100.7,Credit,92767,CC107,Supply Chain Management,629,Payroll
78003000,2025-01-14,EUR,10362.06,1390.88,Debit,92767,CC107,Supply Chain Management,629,Payroll
78003000,2025-06-13,EUR,530.87,71.26,Debit,95842,CC101,Marketing,629,Payroll
78003000,2025-04-21,EUR,-72.74,-9.76,Credit,97086,CC106,Customer Support,683,Payroll
78003000,2025-01-24,EUR,-5152.93,-691.67,Credit,95842,CC108,IT Services,690,Payroll
78003000,2025-08-19,EUR,1704.26,228.76,Debit,95842,CC108,IT Services,690,Payroll
78003000,2025-05-04,EUR,-5105.95,-685.36,Credit,95842,CC100,Research & Development,717,Payroll
78003000,2025-07-18,EUR,-520.54,-69.87,Credit,97086,CC103,Production,717,Payroll
78003000,2025-01-26,EUR,-18641.07,-2502.16,Credit,92767,CC107,Supply Chain Management,717,Payroll
78003000,2025-01-11,EUR,160776.59,21580.75,Debit,97086,CC103,Production,717,Payroll
78003000,2025-06-16,EUR,44505.48,5973.89,Debit,95842,CC100,Research & Development,717,Payroll
78003000,2025-05-08,EUR,26787.53,3595.64,Debit,97086,CC104,Finance,717,Payroll
78003000,2025-01-01,EUR,107244.54,14395.24,Debit,92767,CC100,Research & Development,720,Payroll
78003000,2025-12-16,EUR,-21745.16,-2918.81,Credit,92767,CC103,Production,729,Payroll
78003000,2025-09-18,EUR,190.81,25.61,Debit,92767,CC103,Production,729,Payroll
78003000,2025-02-21,EUR,32268.91,4331.4,Debit,97086,CC103,Production,729,Payroll
78003000,2025-09-16,EUR,-61.48,-8.25,Credit,97086,CC106,Customer Support,730,Payroll
78003000,2025-02-17,EUR,-18619.01,-2499.2,Credit,97086,CC109,Legal & Compliance,730,Payroll
78003000,2025-11-04,EUR,-22230.51,-2983.96,Credit,97086,CC106,Customer Support,730,Payroll
78003000,2025-08-26,EUR,-52527.43,-7050.66,Credit,97086,CC104,Finance,752,Payroll
78003000,2025-10-24,EUR,-66203.18,-8886.33,Credit,97086,CC108,IT Services,787,Payroll
78003000,2025-02-21,EUR,-170.83,-22.93,Credit,92767,CC107,Supply Chain Management,793,Payroll
78003000,2025-09-04,EUR,361.92,48.58,Debit,97086,CC106,Customer Support,793,Payroll
78003000,2025-02-26,EUR,-5630.89,-755.82,Credit,95842,CC105,Human Resources,794,Payroll
78003000,2025-12-09,EUR,56.98,7.65,Debit,95842,CC109,Legal & Compliance,794,Payroll
78003000,2025-03-08,EUR,-35948.24,-4825.27,Credit,92767,CC102,Sales,795,Payroll
78003000,2025-04-18,EUR,17951.39,2409.58,Debit,97086,CC108,IT Services,795,Payroll
78003000,2025-02-19,EUR,123.34,16.56,Debit,97086,CC105,Human Resources,841,Payroll
78003000,2025-08-18,EUR,-6857.87,-920.52,Credit,92767,CC109,Legal & Compliance,888,Payroll
78003000,2025-08-12,EUR,28912.07,3880.81,Debit,97086,CC104,Finance,888,Payroll
78003000,2025-03-16,EUR,5061.53,679.4,Debit,97086,CC102,Sales,891,Payroll
78003000,2025-10-12,EUR,5566.84,747.23,Debit,95842,CC108,IT Services,891,Payroll
78003000,2025-02-16,EUR,9944.15,1334.79,Debit,95842,CC108,IT Services,929,Payroll
78003000,2025-10-24,EUR,1786.53,239.8,Debit,92767,CC101,Marketing,935,Payroll
78003000,2025-12-03,EUR,3556.73,477.41,Debit,95842,CC106,Customer Support,935,Payroll
78003000,2025-03-03,EUR,-39795.55,-5341.68,Credit,92767,CC105,Human Resources,953,Payroll
78003000,2025-04-03,EUR,23440.44,3146.37,Debit,97086,CC109,Legal & Compliance,953,Payroll
78003000,2025-02-28,EUR,5773.89,775.02,Debit,92767,CC105,Human Resources,953,Payroll
78003000,2025-07-23,EUR,-249.06,-33.43,Credit,95842,CC105,Human Resources,985,Payroll
78003000,2025-11-10,EUR,-471.79,-63.33,Credit,95842,CC109,Legal & Compliance,985,Payroll
78003000,2025-07-30,EUR,3446.19,462.58,Debit,92767,CC105,Human Resources,985,Payroll
78003000,2025-02-08,EUR,3325.85,446.42,Debit,95842,CC105,Human Resources,985,Payroll
78003000,2025-03-31,EUR,-18106.64,-2430.42,Credit,95842,CC100,Research & Development,992,Payroll
78003000,2025-07-17,EUR,-31824.85,-4271.79,Credit,97086,CC102,Sales,992,Payroll
78003000,2025-06-08,EUR,18106.64,2430.42,Debit,92767,CC109,Legal & Compliance,992,Payroll
78003001,2025-05-03,DKK,406183.51,54521.28,Debit,95842,CC107,Supply Chain Management,187,Payroll
78003001,2025-05-25,DKK,-3778.7,-507.21,Credit,92767,CC101,Marketing,131,Payroll
78003001,2025-11-06,DKK,-8794.27,-1180.44,Credit,92767,CC101,Marketing,131,Payroll
78003001,2025-03-10,DKK,105830.69,14205.46,Debit,92767,CC107,Supply Chain Management,170,Payroll
78003001,2025-05-03,DKK,-73331.08,-9843.1,Credit,95842,CC107,Supply Chain Management,187,Payroll
78003001,2025-07-30,DKK,-570.49,-76.58,Credit,97086,CC105,Human Resources,196,Payroll
78003001,2025-06-02,DKK,-526.47,-70.67,Credit,97086,CC103,Production,201,Payroll
78003001,2025-01-07,DKK,46265.16,6210.09,Debit,97086,CC103,Production,201,Payroll
78003001,2025-05-09,DKK,-23674.79,-3177.82,Credit,95842,CC108,IT Services,287,Payroll
78003001,2025-10-28,DKK,-581.8,-78.09,Credit,95842,CC108,IT Services,287,Payroll
78003001,2025-03-10,DKK,337.15,45.26,Debit,92767,CC100,Research & Development,287,Payroll
78003001,2025-01-10,DKK,-34384.05,-4615.31,Credit,97086,CC102,Sales,299,Payroll
78003001,2025-07-07,DKK,5792.28,777.49,Debit,95842,CC100,Research & Development,299,Payroll
78003001,2025-08-06,DKK,-164.77,-22.12,Credit,95842,CC109,Legal & Compliance,313,Payroll
78003001,2025-08-19,DKK,-247.21,-33.18,Credit,95842,CC108,IT Services,313,Payroll
78003001,2025-01-02,DKK,-15144.46,-2032.81,Credit,95842,CC108,IT Services,313,Payroll
78003001,2025-01-18,DKK,178.9,24.01,Debit,95842,CC105,Human Resources,360,Payroll
78003001,2025-05-31,DKK,-37140.56,-4985.31,Credit,97086,CC109,Legal & Compliance,386,Payroll
78003001,2025-11-22,DKK,-102240.35,-13723.54,Credit,92767,CC100,Research & Development,399,Payroll
78003001,2025-12-20,DKK,-3614.77,-485.2,Credit,97086,CC106,Customer Support,450,Payroll
78003001,2025-08-31,DKK,-343.7,-46.13,Credit,95842,CC102,Sales,450,Payroll
78003001,2025-10-18,DKK,-135.25,-18.15,Credit,95842,CC106,Customer Support,450,Payroll
78003001,2025-02-03,DKK,343.7,46.13,Debit,95842,CC106,Customer Support,450,Payroll
78003001,2025-05-13,DKK,5402.6,725.18,Debit,97086,CC106,Customer Support,450,Payroll
78003001,2025-05-12,DKK,-594.97,-79.86,Credit,97086,CC100,Research & Development,452,Payroll
78003001,2025-07-01,DKK,-33006.93,-4430.46,Credit,97086,CC100,Research & Development,452,Payroll
78003001,2025-01-11,DKK,594.97,79.86,Debit,92767,CC106,Customer Support,452,Payroll
78003001,2025-01-13,DKK,-2983.74,-400.5,Credit,92767,CC106,Customer Support,461,Payroll
78003001,2025-02-18,DKK,-461.3,-61.92,Credit,92767,CC106,Customer Support,461,Payroll
78003001,2025-02-07,DKK,-297.5,-39.93,Credit,92767,CC102,Sales,461,Payroll
78003001,2025-03-17,DKK,65.23,8.76,Debit,92767,CC106,Customer Support,461,Payroll
78003001,2025-04-24,DKK,-11296.71,-1516.34,Credit,97086,CC107,Supply Chain Management,465,Payroll
78003001,2025-03-26,DKK,43.41,5.83,Debit,95842,CC105,Human Resources,465,Payroll
78003001,2025-04-30,DKK,-1461.25,-196.14,Credit,97086,CC107,Supply Chain Management,513,Payroll
78003001,2025-11-18,DKK,1461.25,196.14,Debit,97086,CC106,Customer Support,513,Payroll
78003001,2025-07-23,DKK,10447.32,1402.32,Debit,92767,CC104,Finance,578,Payroll
78003001,2025-04-13,DKK,-15379.82,-2064.41,Credit,95842,CC104,Finance,579,Payroll
78003001,2025-08-24,DKK,23075.34,3097.36,Debit,95842,CC104,Finance,579,Payroll
78003001,2025-12-08,DKK,-1126.16,-151.16,Credit,97086,CC100,Research & Development,590,Payroll
78003001,2025-01-01,DKK,21930.92,2943.75,Debit,92767,CC107,Supply Chain Management,590,Payroll
78003001,2025-11-22,DKK,6274.63,842.23,Debit,92767,CC107,Supply Chain Management,590,Payroll
78003001,2025-04-03,DKK,13093.45,1757.51,Debit,92767,CC107,Supply Chain Management,618,Payroll
78003001,2025-12-02,DKK,-530.87,-71.26,Credit,92767,CC103,Production,629,Payroll
78003001,2025-06-28,DKK,-7158.82,-960.92,Credit,92767,CC103,Production,629,Payroll
78003001,2025-02-11,DKK,9292.67,1247.34,Debit,95842,CC100,Research & Development,652,Payroll
78003001,2025-02-06,DKK,-6.9,-0.93,Credit,97086,CC103,Production,683,Payroll
78003001,2025-01-22,DKK,10558.85,1417.3,Debit,92767,CC106,Customer Support,683,Payroll
78003001,2025-11-16,DKK,-47731.22,-6406.88,Credit,95842,CC108,IT Services,690,Payroll
78003001,2025-07-27,DKK,-54227.49,-7278.86,Credit,95842,CC103,Production,700,Payroll
78003001,2025-02-17,DKK,4484.95,602.01,Debit,95842,CC106,Customer Support,700,Payroll
78003001,2025-08-26,DKK,-894.2,-120.03,Credit,95842,CC104,Finance,720,Payroll
78003001,2025-08-01,DKK,-20757.19,-2786.2,Credit,95842,CC105,Human Resources,720,Payroll
78003001,2025-10-13,DKK,3570.57,479.27,Debit,97086,CC102,Sales,720,Payroll
78003001,2025-06-23,DKK,-190.81,-25.61,Credit,92767,CC103,Production,729,Payroll
78003001,2025-01-16,DKK,-30954.5,-4154.97,Credit,92767,CC103,Production,729,Payroll
78003001,2025-11-18,DKK,1766.99,237.18,Debit,97086,CC103,Production,729,Payroll
78003001,2025-08-08,DKK,-47748.96,-6409.26,Credit,97086,CC106,Customer Support,730,Payroll
78003001,2025-06-15,DKK,-105369.79,-14143.6,Credit,97086,CC104,Finance,752,Payroll
78003001,2025-09-12,DKK,15162.22,2035.2,Debit,95842,CC102,Sales,752,Payroll
78003001,2025-06-03,DKK,714.98,95.97,Debit,97086,CC104,Finance,752,Payroll
78003001,2025-07-08,DKK,-2439.35,-327.43,Credit,97086,CC108,IT Services,787,Payroll
78003001,2025-09-22,DKK,-17244.37,-2314.68,Credit,97086,CC102,Sales,787,Payroll
78003001,2025-09-13,DKK,-9995.1,-1341.62,Credit,97086,CC107,Supply Chain Management,789,Payroll
78003001,2025-04-28,DKK,28362.31,3807.02,Debit,92767,CC101,Marketing,789,Payroll
78003001,2025-05-30,DKK,317.72,42.65,Debit,97086,CC107,Supply Chain Management,789,Payroll
78003001,2025-05-26,DKK,863.67,115.93,Debit,92767,CC107,Supply Chain Management,793,Payroll
78003001,2025-12-19,DKK,-56.98,-7.65,Credit,92767,CC107,Supply Chain Management,794,Payroll
78003001,2025-12-24,DKK,-33246.74,-4462.65,Credit,92767,CC107,Supply Chain Management,794,Payroll
78003001,2025-03-30,DKK,9.68,1.3,Debit,95842,CC105,Human Resources,794,Payroll
78003001,2025-09-28,DKK,13281.34,1782.73,Debit,95842,CC105,Human Resources,794,Payroll
78003001,2025-05-25,DKK,-18801.58,-2523.7,Credit,92767,CC102,Sales,795,Payroll
78003001,2025-10-10,DKK,-1736.12,-233.04,Credit,92767,CC102,Sales,795,Payroll
78003001,2025-05-30,DKK,149893.22,20119.9,Debit,92767,CC102,Sales,795,Payroll
78003001,2025-01-19,DKK,26459.24,3551.58,Debit,97086,CC105,Human Resources,821,Payroll
78003001,2025-07-01,DKK,239.41,32.14,Debit,92767,CC106,Customer Support,821,Payroll
78003001,2025-10-05,DKK,-125.72,-16.88,Credit,97086,CC105,Human Resources,841,Payroll
78003001,2025-10-27,DKK,6666.15,894.79,Debit,97086,CC105,Human Resources,841,Payroll
78003001,2025-02-16,DKK,749.22,100.57,Debit,97086,CC105,Human Resources,841,Payroll
78003001,2025-09-15,DKK,-38299.12,-5140.82,Credit,97086,CC109,Legal & Compliance,855,Payroll
78003001,2025-01-01,DKK,78.36,10.52,Debit,92767,CC109,Legal & Compliance,855,Payroll
78003001,2025-05-30,DKK,-250.67,-33.65,Credit,92767,CC109,Legal & Compliance,888,Payroll
78003001,2025-08-09,DKK,250.67,33.65,Debit,97086,CC104,Finance,888,Payroll
78003001,2025-10-24,DKK,2255.14,302.7,Debit,97086,CC100,Research & Development,888,Payroll
78003001,2025-10-29,DKK,-23434.49,-3145.57,Credit,97086,CC107,Supply Chain Management,891,Payroll
78003001,2025-08-03,DKK,-38961.49,-5229.73,Credit,95842,CC108,IT Services,891,Payroll
78003001,2025-07-05,DKK,1746.52,234.43,Debit,95842,CC108,IT Services,891,Payroll
78003001,2025-12-31,DKK,279.06,37.46,Debit,95842,CC108,IT Services,891,Payroll
78003001,2025-01-22,DKK,-2842.84,-381.59,Credit,97086,CC102,Sales,929,Payroll
78003001,2025-10-06,DKK,296.16,39.75,Debit,92767,CC104,Finance,929,Payroll
78003001,2025-06-17,DKK,125.74,16.88,Debit,97086,CC103,Production,929,Payroll
78003001,2025-09-27,DKK,-61320.75,-8230.97,Credit,95842,CC106,Customer Support,935,Payroll
78003001,2025-02-26,DKK,197.12,26.46,Debit,95842,CC106,Customer Support,935,Payroll
78003001,2025-08-18,DKK,6894.56,925.44,Debit,92767,CC101,Marketing,935,Payroll
78003001,2025-01-26,DKK,29936.63,4018.34,Debit,92767,CC101,Marketing,935,Payroll
78003001,2025-07-20,DKK,2540.34,340.99,Debit,95842,CC106,Customer Support,935,Payroll
78003001,2025-05-30,DKK,-2959.26,-397.22,Credit,92767,CC105,Human Resources,953,Payroll
78003001,2025-05-12,DKK,-900.1,-120.82,Credit,97086,CC106,Customer Support,953,Payroll
78003001,2025-11-19,DKK,-549.5,-73.76,Credit,97086,CC106,Customer Support,953,Payroll
78003001,2025-10-24,DKK,-40880.88,-5487.37,Credit,95842,CC109,Legal & Compliance,985,Payroll
78003001,2025-04-07,DKK,-12020.94,-1613.55,Credit,95842,CC105,Human Resources,985,Payroll
78003001,2025-02-27,DKK,11861.36,1592.13,Debit,95842,CC109,Legal & Compliance,985,Payroll
78003001,2025-11-16,DKK,19937.98,2676.24,Debit,92767,CC105,Human Resources,985,Payroll
78003001,2025-09-06,DKK,-3195.49,-428.92,Credit,95842,CC100,Research & Development,992,Payroll
78003001,2025-10-25,DKK,-16201.69,-2174.72,Credit,95842,CC100,Research & Development,992,Payroll
78003001,2025-02-07,DKK,16201.69,2174.72,Debit,92767,CC108,IT Services,992,Payroll
78003002,2025-04-20,DKK,458464.38,61538.84,Debit,92767,CC108,IT Services,131,Payroll
78003002,2025-09-15,DKK,-9208.84,-1236.09,Credit,97086,CC106,Customer Support,131,Payroll
78003002,2025-04-20,DKK,8772.83,1177.56,Debit,92767,CC108,IT Services,131,Payroll
78003002,2025-03-30,DKK,-714.43,-95.9,Credit,97086,CC103,Production,170,Payroll
78003002,2025-01-26,DKK,-14331.8,-1923.73,Credit,92767,CC107,Supply Chain Management,176,Payroll
78003002,2025-09-22,DKK,-26339.24,-3535.47,Credit,92767,CC104,Finance,176,Payroll
78003002,2025-03-05,DKK,26339.24,3535.47,Debit,97086,CC102,Sales,176,Payroll
78003002,2025-10-09,DKK,-7263.53,-974.97,Credit,92767,CC106,Customer Support,187,Payroll
78003002,2025-02-13,DKK,7608.24,1021.24,Debit,95842,CC107,Supply Chain Management,187,Payroll
78003002,2025-10-04,DKK,95004.88,12752.33,Debit,97086,CC106,Customer Support,187,Payroll
78003002,2025-05-07,DKK,-9907.54,-1329.87,Credit,92767,CC102,Sales,201,Payroll
78003002,2025-07-13,DKK,6419.86,861.73,Debit,97086,CC100,Research & Development,201,Payroll
78003002,2025-04-26,DKK,-3077.16,-413.04,Credit,95842,CC108,IT Services,287,Payroll
78003002,2025-12-12,DKK,-25745.5,-3455.77,Credit,95842,CC101,Marketing,287,Payroll
78003002,2025-12-03,DKK,-1296.28,-174.0,Credit,95842,CC101,Marketing,287,Payroll
78003002,2025-01-04,DKK,23674.79,3177.82,Debit,95842,CC104,Finance,287,Payroll
78003002,2025-01-21,DKK,-13646.66,-1831.77,Credit,95842,CC108,IT Services,313,Payroll
78003002,2025-04-27,DKK,6111.05,820.28,Debit,95842,CC103,Production,313,Payroll
78003002,2025-03-19,DKK,1324.14,177.74,Debit,95842,CC103,Production,313,Payroll
78003002,2025-10-16,DKK,11006.19,1477.34,Debit,95842,CC100,Research & Development,344,Payroll
78003002,2025-11-02,DKK,-19859.13,-2665.66,Credit,95842,CC100,Research & Development,360,Payroll
78003002,2025-11-19,DKK,10352.99,1389.66,Debit,95842,CC105,Human Resources,360,Payroll
78003002,2025-07-24,DKK,13671.84,1835.15,Debit,92767,CC102,Sales,360,Payroll
78003002,2025-01-07,DKK,-563.08,-75.58,Credit,95842,CC102,Sales,386,Payroll
78003002,2025-01-25,DKK,-1188.87,-159.58,Credit,97086,CC109,Legal & Compliance,386,Payroll
78003002,2025-09-13,DKK,28.54,3.83,Debit,95842,CC103,Production,386,Payroll
78003002,2025-08-02,DKK,1800.97,241.74,Debit,97086,CC109,Legal & Compliance,386,Payroll
78003002,2025-08-05,DKK,6776.07,909.54,Debit,95842,CC102,Sales,386,Payroll
78003002,2025-05-06,DKK,563.08,75.58,Debit,97086,CC108,IT Services,386,Payroll
78003002,2025-07-06,DKK,-272.78,-36.61,Credit,97086,CC100,Research & Development,429,Payroll
78003002,2025-03-10,DKK,13084.93,1756.37,Debit,92767,CC108,IT Services,429,Payroll
78003002,2025-09-04,DKK,-202.46,-27.18,Credit,92767,CC106,Customer Support,452,Payroll
78003002,2025-08-15,DKK,-20254.23,-2718.69,Credit,97086,CC101,Marketing,513,Payroll
78003002,2025-03-29,DKK,1903.07,255.45,Debit,95842,CC105,Human Resources,513,Payroll
78003002,2025-09-03,DKK,56484.62,7581.83,Debit,97086,CC107,Supply Chain Management,513,Payroll
78003002,2025-11-25,DKK,-82601.79,-11087.49,Credit,92767,CC108,IT Services,547,Payroll
78003002,2025-11-11,DKK,-2335.5,-313.49,Credit,92767,CC108,IT Services,547,Payroll
78003002,2025-12-03,DKK,-19205.04,-2577.86,Credit,92767,CC108,IT Services,547,Payroll
78003002,2025-01-10,DKK,1113.71,149.49,Debit,95842,CC101,Marketing,547,Payroll
78003002,2025-10-24,DKK,-36871.21,-4949.16,Credit,92767,CC106,Customer Support,578,Payroll
78003002,2025-04-21,DKK,52679.12,7071.02,Debit,97086,CC108,IT Services,578,Payroll
78003002,2025-03-26,DKK,-3935.23,-528.22,Credit,95842,CC104,Finance,579,Payroll
78003002,2025-05-11,DKK,8543.87,1146.83,Debit,95842,CC104,Finance,579,Payroll
78003002,2025-09-12,DKK,22746.62,3053.24,Debit,95842,CC104,Finance,579,Payroll
78003002,2025-07-28,DKK,-21341.81,-2864.67,Credit,92767,CC107,Supply Chain Management,590,Payroll
78003002,2025-03-04,DKK,4428.96,594.49,Debit,97086,CC100,Research & Development,590,Payroll
78003002,2025-08-31,DKK,-782.18,-104.99,Credit,95842,CC102,Sales,618,Payroll
78003002,2025-04-10,DKK,-146.21,-19.63,Credit,97086,CC100,Research & Development,652,Payroll
78003002,2025-02-28,DKK,6429.38,863.0,Debit,97086,CC100,Research & Development,652,Payroll
78003002,2025-03-10,DKK,1646.44,221.0,Debit,97086,CC106,Customer Support,683,Payroll
78003002,2025-03-26,DKK,22612.41,3035.22,Debit,92767,CC106,Customer Support,683,Payroll
78003002,2025-12-08,DKK,-47.05,-6.32,Credit,95842,CC108,IT Services,690,Payroll
78003002,2025-11-21,DKK,-3058.62,-410.55,Credit,97086,CC109,Legal & Compliance,690,Payroll
78003002,2025-07-05,DKK,-1099.35,-147.56,Credit,97086,CC109,Legal & Compliance,690,Payroll
78003002,2025-08-04,DKK,-502268.43,-67418.58,Credit,95842,CC103,Production,700,Payroll
78003002,2025-06-25,DKK,4527.21,607.68,Debit,95842,CC106,Customer Support,700,Payroll
78003002,2025-11-29,DKK,19875.46,2667.85,Debit,95842,CC103,Production,700,Payroll
78003002,2025-02-20,DKK,-20.99,-2.82,Credit,92767,CC107,Supply Chain Management,717,Payroll
78003002,2025-03-13,DKK,-7796.74,-1046.54,Credit,97086,CC103,Production,729,Payroll
78003002,2025-10-23,DKK,-16431.98,-2205.63,Credit,97086,CC106,Customer Support,730,Payroll
78003002,2025-01-16,DKK,16431.98,2205.63,Debit,97086,CC106,Customer Support,730,Payroll
78003002,2025-01-26,DKK,1683.0,225.91,Debit,97086,CC106,Customer Support,752,Payroll
78003002,2025-01-21,DKK,-25088.35,-3367.56,Credit,95842,CC109,Legal & Compliance,787,Payroll
78003002,2025-05-18,DKK,24245.93,3254.49,Debit,97086,CC108,IT Services,787,Payroll
78003002,2025-11-04,DKK,132746.17,17818.28,Debit,97086,CC103,Production,787,Payroll
78003002,2025-12-15,DKK,-62984.2,-8454.26,Credit,97086,CC107,Supply Chain Management,789,Payroll
78003002,2025-03-05,DKK,-37689.36,-5058.97,Credit,97086,CC105,Human Resources,789,Payroll
78003002,2025-07-04,DKK,-22791.98,-3059.33,Credit,97086,CC107,Supply Chain Management,789,Payroll
78003002,2025-08-01,DKK,-4637.84,-622.53,Credit,95842,CC107,Supply Chain Management,789,Payroll
78003002,2025-11-11,DKK,9076.12,1218.27,Debit,97086,CC101,Marketing,793,Payroll
78003002,2025-02-17,DKK,29006.92,3893.55,Debit,92767,CC107,Supply Chain Management,793,Payroll
78003002,2025-06-15,DKK,19684.24,2642.18,Debit,95842,CC109,Legal & Compliance,793,Payroll
78003002,2025-06-13,DKK,-61850.65,-8302.1,Credit,97086,CC100,Research & Development,794,Payroll
78003002,2025-03-07,DKK,-1796.87,-241.19,Credit,95842,CC109,Legal & Compliance,794,Payroll
78003002,2025-07-07,DKK,54.55,7.32,Debit,95842,CC109,Legal & Compliance,794,Payroll
78003002,2025-09-26,DKK,-10796.36,-1449.18,Credit,95842,CC103,Production,821,Payroll
78003002,2025-02-28,DKK,-11342.16,-1522.44,Credit,97086,CC105,Human Resources,841,Payroll
78003002,2025-07-08,DKK,2868.39,385.02,Debit,97086,CC105,Human Resources,841,Payroll
