DocumentNumber,Date,Currency,AmountDKK,AmountEUR,Type,GLAccount,CostCenter,ItemName,SourceType
78001000,2025-11-27,EUR,317368.06,42599.74,Debit,40211,CC108,Printing Inks for Packaging,Procurement
78001000,2025-06-08,EUR,14220521.43,1908794.82,Debit,40211,CC100,Printing Inks for Packaging,Procurement
78001000,2025-05-24,EUR,5639464.72,756975.13,Debit,40211,CC108,Printing Inks for Packaging,Procurement
78001000,2025-11-21,EUR,-6369258.47,-854934.02,Credit,45015,CC107,Robotic Arm Grippers & End Effectors,Procurement
78001000,2025-02-28,EUR,2446311.03,328363.9,Debit,45015,CC107,Robotic Arm Grippers & End Effectors,Procurement
78001000,2025-03-01,EUR,6369258.47,854934.02,Debit,42307,CC107,Robotic Arm Grippers & End Effectors,Procurement
78001000,2025-12-18,EUR,-685663.29,-92035.34,Credit,42307,CC108,Electric Motors for Assembly Lines,Procurement
78001000,2025-04-17,EUR,9063179.85,1216534.21,Debit,40211,CC108,Electric Motors for Assembly Lines,Procurement
78001000,2025-09-30,EUR,-9773621.28,-1311895.47,Credit,40721,CC102,Steel Pallets and Racking,Procurement
78001000,2025-09-09,EUR,646047.7,86717.81,Debit,40721,CC102,Steel Pallets and Racking,Procurement
78001000,2025-02-01,EUR,-4376273.15,-587419.21,Credit,45015,CC103,Automated Guided Vehicle (AGV) Batteries,Procurement
78001000,2025-09-27,EUR,-3251151.8,-436396.21,Credit,45015,CC105,RFID Tags for Inventory Tracking,Procurement
78001000,2025-06-18,EUR,17339.25,2327.42,Debit,42307,CC102,Industrial Cleaning Chemicals,Procurement
78001000,2025-06-21,EUR,8792264.28,1180169.7,Debit,42307,CC103,Industrial Cleaning Chemicals,Procurement
78001000,2025-04-27,EUR,14343061.83,1925243.2,Debit,40211,CC101,Mold Release Agents,Procurement
78001000,2025-01-03,EUR,-551737.31,-74058.7,Credit,42307,CC100,Safety Workwear (PPE),Procurement
78001000,2025-09-16,EUR,1425247.79,191308.43,Debit,40721,CC105,Safety Workwear (PPE),Procurement
78001000,2025-01-09,EUR,8839564.14,1186518.68,Debit,42307,CC100,Safety Workwear (PPE),Procurement
78001000,2025-01-15,EUR,-16037808.25,-2152725.94,Credit,42307,CC102,Industrial Adhesives & Solvents,Procurement
78001000,2025-10-27,EUR,-6527091.75,-876119.7,Credit,42307,CC102,Industrial Adhesives & Solvents,Procurement
78001000,2025-03-25,EUR,-1987635.12,-266796.66,Credit,42307,CC102,Industrial Adhesives & Solvents,Procurement
78001000,2025-12-24,EUR,867748.6,116476.32,Debit,42307,CC102,Industrial Adhesives & Solvents,Procurement
78001000,2025-12-05,EUR,1300346.62,174543.17,Debit,42307,CC102,Industrial Adhesives & Solvents,Procurement
78001000,2025-05-29,EUR,-15179599.81,-2037530.18,Credit,40721,CC104,Compressed Air Filters and Hoses,Procurement
78001000,2025-11-07,EUR,8492079.1,1139876.39,Debit,40211,CC101,Machine Tooling Inserts,Procurement
78001000,2025-12-18,EUR,977109.39,131155.62,Debit,40721,CC108,Machine Tooling Inserts,Procurement
78001000,2025-04-23,EUR,-19609.64,-2632.17,Credit,40211,CC107,Fire Suppression System Parts,Procurement
78001000,2025-02-19,EUR,-136984.75,-18387.21,Credit,45015,CC109,Circuit Boards for Machine Controls,Procurement
78001000,2025-12-05,EUR,-3658840.84,-491119.58,Credit,40721,CC104,Circuit Boards for Machine Controls,Procurement
78001000,2025-03-26,EUR,183763.11,24666.19,Debit,40721,CC109,Circuit Boards for Machine Controls,Procurement
78001000,2025-06-25,EUR,-1040260.2,-139632.24,Credit,40211,CC102,Replacement Conveyor Rollers,Procurement
78001000,2025-09-07,EUR,-29093.97,-3905.23,Credit,42307,CC100,Replacement Conveyor Rollers,Procurement
78001000,2025-04-21,EUR,199961.47,26840.47,Debit,42307,CC100,Replacement Conveyor Rollers,Procurement
78001000,2025-05-22,EUR,-39080.27,-5245.67,Credit,40721,CC100,Forklift Spare Parts,Procurement
78001000,2025-12-05,EUR,231934.63,31132.17,Debit,45015,CC107,Forklift Spare Parts,Procurement
78001000,2025-06-21,EUR,-635133.29,-85252.79,Credit,40211,CC104,Safety Signage and Floor Markings,Procurement
78001000,2025-08-08,EUR,-1561713.44,-209625.97,Credit,40721,CC102,Safety Signage and Floor Markings,Procurement
78001000,2025-03-10,EUR,1561713.44,209625.97,Debit,40211,CC104,Safety Signage and Floor Markings,Procurement
78001000,2025-12-08,EUR,-6511012.4,-873961.4,Credit,40721,CC103,Waste Management Bins & Bags,Procurement
78001000,2025-08-29,EUR,10618378.97,1425285.77,Debit,42307,CC105,Waste Management Bins & Bags,Procurement
78001000,2025-05-25,EUR,4800031.86,644299.58,Debit,45015,CC104,Waste Management Bins & Bags,Procurement
78001000,2025-03-02,EUR,435213.92,58417.98,Debit,40211,CC105,Hydraulic Fluid for Machines,Procurement
78001000,2025-10-04,EUR,-32182.79,-4319.84,Credit,40721,CC105,First Aid Kit Supplies,Procurement
78001000,2025-02-25,EUR,2954709.76,396605.34,Debit,40721,CC104,Employee Uniforms,Procurement
78001000,2025-08-25,EUR,-71908.93,-9652.21,Credit,40211,CC106,"Hand Tools (Screwdrivers, Wrenches, etc.)",Procurement
78001000,2025-12-08,EUR,33663.28,4518.56,Debit,40211,CC106,"Hand Tools (Screwdrivers, Wrenches, etc.)",Procurement
78001000,2025-11-15,EUR,-980016.48,-131545.84,Credit,40211,CC108,Lockout/Tagout Devices,Procurement
78001000,2025-05-15,EUR,1435107.53,192631.88,Debit,40211,CC107,Lockout/Tagout Devices,Procurement
78001000,2025-05-21,EUR,-84476.35,-11339.11,Credit,42307,CC104,Janitorial Paper Products,Procurement
78001000,2025-03-19,EUR,-2674040.44,-358931.6,Credit,42307,CC107,Janitorial Paper Products,Procurement
78001000,2025-08-24,EUR,1708072.9,229271.53,Debit,42307,CC104,Janitorial Paper Products,Procurement
78001000,2025-04-01,EUR,942259.49,126477.78,Debit,40721,CC103,Janitorial Paper Products,Procurement
78001000,2025-01-13,EUR,-737277.34,-98963.4,Credit,40211,CC106,Office Printer Toner Cartridges,Procurement
78001000,2025-01-17,EUR,7012712.07,941303.63,Debit,40211,CC105,Copy Paper,Procurement
78001000,2025-04-13,EUR,2543208.17,341370.22,Debit,42307,CC106,Copy Paper,Procurement
78001000,2025-07-17,EUR,-1649190.83,-221367.9,Credit,45015,CC100,General Office Furniture,Procurement
78001000,2025-09-09,EUR,-1659702.15,-222778.81,Credit,45015,CC106,General Office Furniture,Procurement
78001000,2025-10-26,EUR,1649190.83,221367.9,Debit,45015,CC100,General Office Furniture,Procurement
78001000,2025-10-29,EUR,351664.57,47203.3,Debit,45015,CC100,General Office Furniture,Procurement
78001000,2025-08-18,EUR,-860469.78,-115499.3,Credit,40211,CC104,Coffee and Breakroom Supplies,Procurement
78001000,2025-07-08,EUR,267972.57,35969.47,Debit,42307,CC108,Coffee and Breakroom Supplies,Procurement
78001000,2025-07-08,EUR,2101465.36,282075.89,Debit,40211,CC102,Water Dispensers and Bottled Water,Procurement
78001000,2025-08-18,EUR,2422012.8,325102.39,Debit,45015,CC106,Water Dispensers and Bottled Water,Procurement
78001000,2025-01-12,EUR,1941151.84,260557.29,Debit,45015,CC106,Water Dispensers and Bottled Water,Procurement
78001000,2025-12-25,EUR,-353228.77,-47413.26,Credit,40721,CC101,Desk Organizers,Procurement
78001000,2025-02-07,EUR,-190643.74,-25589.76,Credit,40721,CC101,Desk Organizers,Procurement
78001000,2025-01-23,EUR,-1389190.31,-186468.5,Credit,40211,CC101,Batteries (AA/AAA),Procurement
78001000,2025-07-10,EUR,1079050.43,144838.98,Debit,40211,CC101,Batteries (AA/AAA),Procurement
78001000,2025-12-08,EUR,1116965.25,149928.22,Debit,40211,CC101,Batteries (AA/AAA),Procurement
78001000,2025-01-31,EUR,40636.18,5454.52,Debit,42307,CC109,Batteries (AA/AAA),Procurement
78001000,2025-08-04,EUR,89936230.93,12071977.31,Debit,56629,CC101,Strategic IT Infrastructure Implementation,Service
78001000,2025-04-15,EUR,66079857.14,8869779.48,Debit,56629,CC101,Strategic IT Infrastructure Implementation,Service
78001000,2025-01-31,EUR,9329908.75,1252336.74,Debit,51645,CC103,Strategic IT Infrastructure Implementation,Service
78001000,2025-09-11,EUR,16237566.03,2179539.06,Debit,51645,CC107,Manufacturing Equipment Maintenance Contract,Service
78001000,2025-01-19,EUR,-192871.19,-25888.75,Credit,56616,CC109,Retail Store Fit-Out Services,Service
78001000,2025-12-22,EUR,3386426.11,454553.84,Debit,55399,CC103,Retail Store Fit-Out Services,Service
78001000,2025-09-20,EUR,1804855.4,242262.47,Debit,56616,CC108,Retail Store Fit-Out Services,Service
78001000,2025-01-30,EUR,-835041.68,-112086.13,Credit,51493,CC109,SAP Enterprise License,Service
78001000,2025-02-19,EUR,17831953.94,2393550.86,Debit,51493,CC109,SAP Enterprise License,Service
78001000,2025-04-17,EUR,-19206727.74,-2578084.26,Credit,56616,CC101,Product Safety Certification and Testing,Service
78001000,2025-10-25,EUR,359819.67,48297.94,Debit,58510,CC102,Product Safety Certification and Testing,Service
78001000,2025-08-08,EUR,16704690.05,2242240.28,Debit,58510,CC102,Product Safety Certification and Testing,Service
78001000,2025-10-16,EUR,-3741302.48,-502188.25,Credit,55399,CC107,Large-Scale Event Sponsorship Fees,Service
78001000,2025-12-22,EUR,691814.48,92861.0,Debit,59210,CC103,Large-Scale Event Sponsorship Fees,Service
78001000,2025-11-12,EUR,-406020.77,-54499.43,Credit,56616,CC108,Brand Licensing Agreements,Service
78001000,2025-05-02,EUR,15236093.5,2045113.22,Debit,56616,CC108,Brand Licensing Agreements,Service
78001000,2025-08-07,EUR,3530756.37,473927.03,Debit,51645,CC109,Packaging Design and Procurement,Service
78001000,2025-09-28,EUR,821.73,110.3,Debit,58510,CC102,Customs Brokerage Services,Service
78001000,2025-01-17,EUR,1608534.96,215910.73,Debit,55399,CC106,Customs Brokerage Services,Service
78001000,2025-01-17,EUR,14331761.85,1923726.42,Debit,58510,CC102,Customs Brokerage Services,Service
78001000,2025-12-01,EUR,-949591.79,-127461.99,Credit,56616,CC101,Corporate Insurance Brokerage,Service
78001000,2025-05-08,EUR,-9400542.46,-1261817.78,Credit,51645,CC105,3PL (Third-Party Logistics) Services,Service
78001000,2025-12-21,EUR,166985.08,22414.1,Debit,55399,CC107,3PL (Third-Party Logistics) Services,Service
78001000,2025-06-22,EUR,-36730.38,-4930.25,Credit,58510,CC104,Recruitment Process Outsourcing (RPO),Service
78001000,2025-02-24,EUR,-49070.55,-6586.65,Credit,58510,CC104,Recruitment Process Outsourcing (RPO),Service
78001000,2025-09-06,EUR,230366.54,30921.68,Debit,51645,CC106,Recruitment Process Outsourcing (RPO),Service
78001000,2025-01-30,EUR,1665606.7,223571.37,Debit,58510,CC104,Recruitment Process Outsourcing (RPO),Service
78001000,2025-05-26,EUR,-438417.16,-58847.94,Credit,56629,CC101,Facilities Management Contract,Service
78001000,2025-04-16,EUR,2887626.4,387600.86,Debit,56629,CC101,Facilities Management Contract,Service
78001000,2025-11-04,EUR,-244164.28,-32773.73,Credit,51493,CC101,Environmental Compliance Audits,Service
78001000,2025-10-15,EUR,1149379.36,154279.11,Debit,51493,CC101,Environmental Compliance Audits,Service
78001000,2025-07-04,EUR,-143670.45,-19284.62,Credit,58510,CC108,Global Tax Advisory Services,Service
78001000,2025-06-26,EUR,-1516417.93,-203546.03,Credit,58510,CC107,Sustainability Reporting Consulting,Service
78001000,2025-05-09,EUR,-4478190.17,-601099.35,Credit,58510,CC105,Custom E-commerce Platform Support,Service
78001000,2025-12-03,EUR,161024.99,21614.09,Debit,55399,CC100,Custom E-commerce Platform Support,Service
78001000,2025-02-10,EUR,-388372.62,-52130.55,Credit,58510,CC101,HR Benefits Administration,Service
78001000,2025-12-18,EUR,1773210.73,238014.86,Debit,58510,CC103,IT Helpdesk and Support Contract,Service
78001000,2025-02-07,EUR,-2661098.37,-357194.41,Credit,59210,CC108,Janitorial Services,Service
78001000,2025-06-18,EUR,1325432.13,177910.35,Debit,56616,CC104,Translation and Localization Services,Service
78001000,2025-06-21,EUR,-263347.52,-35348.66,Credit,59210,CC106,Travel Management Services,Service
78001000,2025-10-27,EUR,-1517764.27,-203726.75,Credit,55399,CC106,Digital Content Production Services,Service
78001000,2025-10-02,EUR,-4162.79,-558.76,Credit,51645,CC107,Digital Content Production Services,Service
78001000,2025-06-06,EUR,-40593.48,-5448.79,Credit,51645,CC107,Digital Content Production Services,Service
78001000,2025-03-03,EUR,-617853.73,-82933.39,Credit,51645,CC106,Corporate Training Programs,Service
78001000,2025-01-31,EUR,338296.61,45408.94,Debit,51645,CC108,Recruitment Agency Fees,Service
78001000,2025-04-13,EUR,636929.22,85493.86,Debit,51645,CC108,Recruitment Agency Fees,Service
78001000,2025-10-20,EUR,560306.53,75208.93,Debit,56616,CC107,Health and Safety Audits,Service
78001000,2025-04-30,EUR,-131788.22,-17689.69,Credit,55399,CC105,Office Security Services,Service
78001000,2025-03-26,EUR,-373352.13,-50114.38,Credit,56629,CC103,Office Security Services,Service
78001000,2025-10-23,EUR,-3731945.59,-500932.29,Credit,56629,CC100,Waste Management Contract,Service
78001000,2025-11-27,EUR,-3156501.33,-423691.45,Credit,58510,CC108,Waste Management Contract,Service
78001000,2025-06-13,EUR,-1462911.36,-196363.94,Credit,51493,CC100,Accounting and Audit Services,Service
78001000,2025-10-08,EUR,-53187.62,-7139.28,Credit,56629,CC107,Accounting and Audit Services,Service
78001000,2025-05-10,EUR,4259121.68,571694.19,Debit,51493,CC100,Accounting and Audit Services,Service
78001000,2025-07-03,EUR,5419517.37,727452.0,Debit,51493,CC101,Microsoft 365 Enterprise License,Service
78001000,2025-12-18,EUR,-764786.42,-102655.9,Credit,55399,CC102,Telecommunications Services,Service
78001000,2025-01-18,EUR,-134243.41,-18019.25,Credit,59210,CC102,Telecommunications Services,Service
78001000,2025-02-16,EUR,2920520.23,392016.14,Debit,55399,CC102,Telecommunications Services,Service
78001000,2025-11-12,EUR,2386602.24,320349.29,Debit,59210,CC102,Telecommunications Services,Service
78001000,2025-11-22,EUR,-3578915.42,-480391.33,Credit,55399,CC104,Adobe Creative Cloud Subscription,Service
78001000,2025-08-04,EUR,-815702.94,-109490.33,Credit,51493,CC102,Video Conferencing Platform Subscription (Zoom),Service
78001000,2025-01-19,EUR,-266457.84,-35766.15,Credit,51493,CC102,Video Conferencing Platform Subscription (Zoom),Service
78001000,2025-05-27,EUR,-6064.36,-814.01,Credit,51493,CC100,Video Conferencing Platform Subscription (Zoom),Service
78001000,2025-12-25,EUR,275419.01,36968.99,Debit,51645,CC102,Video Conferencing Platform Subscription (Zoom),Service
78001000,2025-05-29,EUR,-967.76,-129.9,Credit,59210,CC107,Power BI Pro License,Service
78001000,2025-05-02,EUR,30720.83,4123.6,Debit,51645,CC101,Power BI Pro License,Service
78001000,2025-07-29,EUR,906582.14,121688.88,Debit,58510,CC101,Power BI Pro License,Service
78001000,2025-02-17,EUR,-2180931.26,-292742.45,Credit,56616,CC104,Antivirus Software Subscription,Service
78001000,2025-11-08,EUR,-1205023.75,-161748.15,Credit,58510,CC108,Domain Registration and Hosting,Service
78001000,2025-02-05,EUR,-413078.34,-55446.76,Credit,58510,CC101,Expense Management Software License,Service
78001000,2025-10-25,EUR,-121220.25,-16271.17,Credit,51645,CC104,E-signature Platform Subscription (DocuSign),Service
78001000,2025-04-19,EUR,-205489.45,-27582.48,Credit,55399,CC102,E-signature Platform Subscription (DocuSign),Service
78001000,2025-08-27,EUR,-10023.7,-1345.46,Credit,58510,CC102,E-signature Platform Subscription (DocuSign),Service
78001000,2025-08-16,EUR,-209492.07,-28119.74,Credit,51645,CC101,Online Survey Tool Subscription,Service
78001001,2025-07-24,DKK,-605665941.21,-81297441.77,Credit,40211,CC105,Hydraulic Fluid for Machines,Procurement
78001001,2025-08-10,DKK,-19266207.57,-2586068.13,Credit,40721,CC108,ABS Plastic Resin (Acrylonitrile Butadiene Styrene),Procurement
78001001,2025-01-26,DKK,-1625961.0,-218249.8,Credit,40721,CC108,ABS Plastic Resin (Acrylonitrile Butadiene Styrene),Procurement
78001001,2025-09-28,DKK,702002354.01,94228503.89,Debit,40721,CC104,ABS Plastic Resin (Acrylonitrile Butadiene Styrene),Procurement
78001001,2025-06-03,DKK,31367182.11,4210360.01,Debit,45015,CC109,ABS Plastic Resin (Acrylonitrile Butadiene Styrene),Procurement
78001001,2025-06-06,DKK,-2913813.98,-391115.97,Credit,40211,CC101,High-Impact Polystyrene (HIPS),Procurement
78001001,2025-07-07,DKK,-18297242.13,-2456005.66,Credit,40211,CC102,High-Impact Polystyrene (HIPS),Procurement
78001001,2025-12-19,DKK,-20446095.65,-2744442.37,Credit,40211,CC109,Polyethylene Packaging Film,Procurement
78001001,2025-02-22,DKK,-2229924.6,-299318.74,Credit,45015,CC105,Polyethylene Packaging Film,Procurement
78001001,2025-06-10,DKK,-73698797.01,-9892455.97,Credit,45015,CC102,Injection Molding Machinery Spare Parts,Procurement
78001001,2025-11-27,DKK,-11610822.57,-1558499.67,Credit,42307,CC104,Automated Sorting System Components,Procurement
78001001,2025-02-20,DKK,-8848897.95,-1187771.54,Credit,40211,CC102,Automated Sorting System Components,Procurement
78001001,2025-05-03,DKK,-25008254.89,-3356812.74,Credit,40721,CC108,Automated Sorting System Components,Procurement
78001001,2025-11-22,DKK,19168822.56,2572996.32,Debit,42307,CC103,Automated Sorting System Components,Procurement
78001001,2025-03-03,DKK,26134815.41,3508028.91,Debit,42307,CC107,Automated Sorting System Components,Procurement
78001001,2025-10-16,DKK,211299.09,28362.29,Debit,40211,CC108,Silicone Rubber for Minifigure Accessories,Procurement
78001001,2025-11-29,DKK,-821547.57,-110274.84,Credit,45015,CC109,Custom Steel Molds for Bricks,Procurement
78001001,2025-12-05,DKK,23716923.04,3183479.6,Debit,45015,CC109,Custom Steel Molds for Bricks,Procurement
78001001,2025-11-29,DKK,1232402.75,165423.19,Debit,42307,CC109,Custom Steel Molds for Bricks,Procurement
78001001,2025-06-29,DKK,-6063148.67,-813845.46,Credit,42307,CC108,Boxboard Packaging Cartons,Procurement
78001001,2025-09-11,DKK,-7686135.08,-1031695.98,Credit,40211,CC107,Boxboard Packaging Cartons,Procurement
78001001,2025-05-09,DKK,5983411.35,803142.46,Debit,40211,CC107,Boxboard Packaging Cartons,Procurement
78001001,2025-09-20,DKK,16469075.39,2210614.15,Debit,42307,CC108,Boxboard Packaging Cartons,Procurement
78001001,2025-03-03,DKK,2426384.03,325689.13,Debit,42307,CC108,Boxboard Packaging Cartons,Procurement
78001001,2025-01-04,DKK,8224496.38,1103959.25,Debit,40211,CC107,Boxboard Packaging Cartons,Procurement
78001001,2025-09-27,DKK,25201583.55,3382762.89,Debit,40721,CC107,Primary Cardboard Shipping Boxes,Procurement
78001001,2025-07-03,DKK,428893.16,57569.55,Debit,40211,CC100,Printing Inks for Packaging,Procurement
78001001,2025-10-02,DKK,-631488.76,-84763.59,Credit,40211,CC109,Thermal Transfer Barcode Labels,Procurement
78001001,2025-12-16,DKK,627874.93,84278.51,Debit,40211,CC109,Thermal Transfer Barcode Labels,Procurement
78001001,2025-08-24,DKK,-10118334.46,-1358165.7,Credit,40211,CC102,Warehouse Conveyor Belts,Procurement
78001001,2025-06-15,DKK,2938141.92,394381.47,Debit,40211,CC102,Warehouse Conveyor Belts,Procurement
78001001,2025-10-16,DKK,1170369.01,157096.51,Debit,45015,CC105,Warehouse Conveyor Belts,Procurement
78001001,2025-01-17,DKK,35707353.43,4792933.35,Debit,40211,CC102,Warehouse Conveyor Belts,Procurement
78001001,2025-01-19,DKK,57726.21,7748.48,Debit,40721,CC103,Shrink Wrap Film,Procurement
78001001,2025-02-26,DKK,1142004.58,153289.21,Debit,40721,CC104,Shrink Wrap Film,Procurement
78001001,2025-09-01,DKK,4341572.45,582761.4,Debit,40721,CC101,Shrink Wrap Film,Procurement
78001001,2025-08-08,DKK,-17680339.1,-2373199.88,Credit,42307,CC107,Robotic Arm Grippers & End Effectors,Procurement
78001001,2025-12-01,DKK,-3937251.55,-528490.14,Credit,42307,CC107,Robotic Arm Grippers & End Effectors,Procurement
78001001,2025-10-29,DKK,-828028.76,-111144.8,Credit,42307,CC108,Electric Motors for Assembly Lines,Procurement
78001001,2025-10-13,DKK,567945.28,76234.27,Debit,42307,CC108,Electric Motors for Assembly Lines,Procurement
78001001,2025-04-04,DKK,685663.29,92035.34,Debit,40211,CC108,Electric Motors for Assembly Lines,Procurement
78001001,2025-01-14,DKK,961777.26,129097.62,Debit,40721,CC101,Electric Motors for Assembly Lines,Procurement
78001001,2025-11-23,DKK,-13417766.39,-1801042.47,Credit,40721,CC102,Steel Pallets and Racking,Procurement
78001001,2025-05-23,DKK,-1575747.66,-211509.75,Credit,40211,CC109,Steel Pallets and Racking,Procurement
78001001,2025-11-20,DKK,-5962139.2,-800287.14,Credit,40211,CC109,Automated Guided Vehicle (AGV) Batteries,Procurement
78001001,2025-02-28,DKK,-2675329.41,-359104.62,Credit,45015,CC103,Automated Guided Vehicle (AGV) Batteries,Procurement
78001001,2025-06-03,DKK,-7328476.51,-983688.12,Credit,40721,CC105,Automated Guided Vehicle (AGV) Batteries,Procurement
78001001,2025-06-11,DKK,-1266864.99,-170048.99,Credit,40721,CC109,RFID Tags for Inventory Tracking,Procurement
78001001,2025-01-23,DKK,-1278088.5,-171555.5,Credit,45015,CC107,RFID Tags for Inventory Tracking,Procurement
78001001,2025-04-08,DKK,9628528.72,1292419.96,Debit,45015,CC105,RFID Tags for Inventory Tracking,Procurement
78001001,2025-04-28,DKK,-3104097.85,-416657.43,Credit,40211,CC104,Industrial Cleaning Chemicals,Procurement
78001001,2025-02-14,DKK,6557093.64,880146.8,Debit,45015,CC107,Industrial Cleaning Chemicals,Procurement
78001001,2025-04-15,DKK,21.12,2.83,Debit,40211,CC104,Industrial Cleaning Chemicals,Procurement
78001001,2025-02-13,DKK,2271565.29,304908.09,Debit,45015,CC107,Mold Release Agents,Procurement
78001001,2025-12-27,DKK,-974452.91,-130799.05,Credit,42307,CC100,Safety Workwear (PPE),Procurement
78001001,2025-03-26,DKK,9972190.0,1338548.99,Debit,42307,CC100,Safety Workwear (PPE),Procurement
78001001,2025-03-03,DKK,-4245550.31,-569872.52,Credit,45015,CC105,Sensor Modules (for Automation),Procurement
78001001,2025-12-19,DKK,-1639696.82,-220093.53,Credit,45015,CC108,Sensor Modules (for Automation),Procurement
78001001,2025-11-27,DKK,-195792.7,-26280.9,Credit,42307,CC102,Industrial Adhesives & Solvents,Procurement
78001001,2025-01-15,DKK,-863132.41,-115856.7,Credit,40721,CC104,Compressed Air Filters and Hoses,Procurement
78001001,2025-08-09,DKK,-211742.75,-28421.85,Credit,42307,CC102,Compressed Air Filters and Hoses,Procurement
78001001,2025-03-22,DKK,741235.67,99494.72,Debit,40721,CC104,Compressed Air Filters and Hoses,Procurement
78001001,2025-02-05,DKK,211742.75,28421.85,Debit,42307,CC103,Compressed Air Filters and Hoses,Procurement
78001001,2025-07-22,DKK,-1205.34,-161.79,Credit,40721,CC108,Machine Tooling Inserts,Procurement
78001001,2025-11-27,DKK,-976911.97,-131129.12,Credit,40211,CC101,Machine Tooling Inserts,Procurement
78001001,2025-07-08,DKK,6299767.14,845606.33,Debit,45015,CC107,Machine Tooling Inserts,Procurement
78001001,2025-09-04,DKK,-1764953.3,-236906.48,Credit,40211,CC107,Fire Suppression System Parts,Procurement
78001001,2025-01-06,DKK,-2531596.32,-339811.59,Credit,40721,CC109,Circuit Boards for Machine Controls,Procurement
78001001,2025-12-16,DKK,-1856351.61,-249174.71,Credit,42307,CC100,Replacement Conveyor Rollers,Procurement
78001001,2025-11-29,DKK,1856351.61,249174.71,Debit,40211,CC102,Replacement Conveyor Rollers,Procurement
78001001,2025-06-13,DKK,-0.0,-0.0,Credit,40721,CC100,HVAC Filters and Components,Procurement
78001001,2025-04-30,DKK,-2336499.46,-313624.09,Credit,40721,CC100,HVAC Filters and Components,Procurement
78001001,2025-05-31,DKK,4225486.27,567179.37,Debit,42307,CC102,HVAC Filters and Components,Procurement
78001001,2025-12-10,DKK,-22.61,-3.03,Credit,40721,CC100,Forklift Spare Parts,Procurement
78001001,2025-04-20,DKK,234119.85,31425.48,Debit,45015,CC107,Forklift Spare Parts,Procurement
78001001,2025-08-28,DKK,3682237.18,494260.02,Debit,45015,CC107,Forklift Spare Parts,Procurement
78001001,2025-07-18,DKK,587051.84,78798.9,Debit,42307,CC102,Forklift Spare Parts,Procurement
78001001,2025-06-20,DKK,-1846836.1,-247897.46,Credit,40721,CC101,Safety Signage and Floor Markings,Procurement
78001001,2025-11-28,DKK,-2020267.13,-271176.8,Credit,45015,CC104,Waste Management Bins & Bags,Procurement
78001001,2025-12-01,DKK,278148.92,37335.43,Debit,42307,CC105,Waste Management Bins & Bags,Procurement
78001001,2025-11-08,DKK,-4293691.96,-576334.49,Credit,40721,CC107,Hydraulic Fluid for Machines,Procurement
78001001,2025-10-09,DKK,-3678268.0,-493727.25,Credit,45015,CC109,Hydraulic Fluid for Machines,Procurement
78001001,2025-07-24,DKK,-435213.92,-58417.98,Credit,40211,CC105,Hydraulic Fluid for Machines,Procurement
78001001,2025-11-30,DKK,24261.65,3256.6,Debit,45015,CC102,First Aid Kit Supplies,Procurement
78001001,2025-10-27,DKK,108117.62,14512.43,Debit,45015,CC102,First Aid Kit Supplies,Procurement
