DocumentNumber,Date,Currency,AmountDKK,AmountEUR,Type,GLAccount,CostCenter,CustomerName,ItemName,SourceType
78002000,2025-11-30,EUR,-6350819.45,-852458.99,Credit,36272,CC100,Target,LEGO Ideas Sets,Product Sales
78002000,2025-10-01,EUR,-9461853.41,-1270047.44,Credit,36272,CC109,The LEGO Foundation,LEGO Super Heroes DC Sets,Product Sales
78002000,2025-12-24,EUR,-1882937.09,-252743.23,Credit,36272,CC100,John Lewis Partnership,LEGO Super Heroes DC Sets,Product Sales
78002000,2025-08-05,EUR,1629229.42,218688.51,Debit,36272,CC105,Amazon,LEGO BrickHeadz Figures,Product Sales
78002000,2025-09-04,EUR,-5697015.33,-764700.04,Credit,36272,CC101,Target,LEGO Seasonal & Holiday Sets,Product Sales
78002000,2025-08-05,EUR,-2554966.41,-342948.51,Credit,36272,CC104,Amazon,LEGO Collectible Minifigures Series,Product Sales
78002000,2025-04-09,EUR,157565.22,21149.69,Debit,36272,CC104,Amazon,LEGO Collectible Minifigures Series,Product Sales
78002000,2025-12-23,EUR,-1178511.65,-158189.48,Credit,36272,CC106,Educational Insights,LEGO Accessories Packs,Product Sales
78002000,2025-04-24,EUR,9344268.29,1254264.2,Debit,36272,CC104,Hamleys,LEGO Keychains,Product Sales
78002000,2025-04-02,EUR,-365185.29,-49018.16,Credit,36272,CC100,John Lewis Partnership,LEGO Brick Separators,Product Sales
78002000,2025-04-11,EUR,-35487.75,-4763.46,Credit,36272,CC101,Educational Insights,LEGO Brick Separators,Product Sales
78002000,2025-06-01,EUR,-1460572.03,-196049.94,Credit,36272,CC101,Educational Insights,LEGO Brick Separators,Product Sales
78002000,2025-04-19,EUR,-1090497.59,-146375.52,Credit,36272,CC102,Walmart,LEGO Education Kits,Product Sales
78002000,2025-03-04,EUR,-2466153.41,-331027.3,Credit,36272,CC105,The LEGO Foundation,LEGO Education Kits,Product Sales
78002000,2025-02-18,EUR,311922.29,41868.76,Debit,36272,CC105,The LEGO Foundation,LEGO Education Kits,Product Sales
78002000,2025-01-14,EUR,71486.2,9595.46,Debit,36272,CC107,The LEGO Foundation,LEGO Education Kits,Product Sales
78002000,2025-09-06,EUR,-2834075.32,-380412.79,Credit,36272,CC100,The LEGO Foundation,LEGO Gear & Apparel,Product Sales
78002000,2025-09-24,EUR,71907.61,9652.03,Debit,36272,CC109,Amazon,LEGO Gear & Apparel,Product Sales
78002000,2025-04-08,EUR,531483.92,71340.12,Debit,36272,CC100,The LEGO Foundation,LEGO Gear & Apparel,Product Sales
78002000,2025-02-19,EUR,610356.46,81927.04,Debit,36272,CC101,The LEGO Foundation,LEGO Books & Magazines,Product Sales
78002000,2025-04-27,EUR,10709.08,1437.46,Debit,36272,CC104,Educational Insights,LEGO Books & Magazines,Product Sales
78002000,2025-08-05,EUR,4334101.6,581758.6,Debit,36272,CC104,Carrefour,LEGO Video Games,Product Sales
78002000,2025-05-23,EUR,-2074961.38,-278518.31,Credit,36272,CC106,John Lewis Partnership,LEGO Monkie Kid Playsets,Product Sales
78002000,2025-12-19,EUR,1403.81,188.43,Debit,36272,CC105,Walmart,LEGO Monkie Kid Playsets,Product Sales
78002000,2025-12-28,EUR,563504.8,75638.23,Debit,36272,CC108,Amazon,LEGO Jurassic World Sets,Product Sales
78002000,2025-03-15,EUR,557046.4,74771.33,Debit,36272,CC104,Walmart,LEGO Jurassic World Sets,Product Sales
78002000,2025-07-12,EUR,1811948.0,243214.5,Debit,36272,CC108,Amazon,LEGO Jurassic World Sets,Product Sales
78002000,2025-02-18,EUR,3314654.78,444920.1,Debit,36272,CC102,Smithsonian Institution,LEGO Avatar Sets,Product Sales
78002000,2025-12-25,EUR,757562.42,101686.23,Debit,36272,CC102,Smithsonian Institution,LEGO Avatar Sets,Product Sales
78002000,2025-04-20,EUR,-204148.22,-27402.45,Credit,36272,CC102,Smithsonian Institution,LEGO Stationery,Product Sales
78002000,2025-06-29,EUR,306298.24,41113.86,Debit,36272,CC108,John Lewis Partnership,LEGO City Stuntz Sets,Product Sales
78002000,2025-02-26,EUR,-333968.44,-44827.98,Credit,36272,CC108,Walmart,LEGO Advent Calendars,Product Sales
78002000,2025-11-29,EUR,7044.76,945.61,Debit,36272,CC105,Carrefour,LEGO Wearable Watches,Product Sales
78002000,2025-02-25,EUR,289738.86,38891.12,Debit,36272,CC105,Carrefour,LEGO Wearable Watches,Product Sales
78002000,2025-08-24,EUR,-1248440.65,-167575.93,Credit,36272,CC106,"Toys ""R"" Us",LEGO Movie Tie-in Sets,Product Sales
78002000,2025-06-19,EUR,-2467341.9,-331186.83,Credit,36272,CC105,Hamleys,LEGO Movie Tie-in Sets,Product Sales
78002000,2025-08-08,EUR,924034.14,124031.43,Debit,36272,CC109,Target,LEGO Movie Tie-in Sets,Product Sales
78002000,2025-12-01,EUR,58142.0,7804.3,Debit,36272,CC106,"Toys ""R"" Us",LEGO Movie Tie-in Sets,Product Sales
78002000,2025-12-19,EUR,598564.86,80344.28,Debit,36272,CC100,John Lewis Partnership,LEGO Personalized Bricks,Product Sales
78002000,2025-02-20,EUR,-3811898.29,-511664.2,Credit,36272,CC106,Walmart,LEGO Build & Store Workshops,Product Sales
78002000,2025-11-01,EUR,945225.45,126875.9,Debit,36272,CC108,The LEGO Foundation,LEGO Build & Store Workshops,Product Sales
78002000,2025-10-26,EUR,206005.24,27651.71,Debit,36272,CC109,Carrefour,LEGO Build & Store Workshops,Product Sales
78002000,2025-09-21,EUR,-39310.66,-5276.6,Credit,36272,CC102,Target,LEGO Digital Building Apps,Product Sales
78002000,2025-04-13,EUR,257060.32,34504.74,Debit,36272,CC105,Target,LEGO Digital Building Apps,Product Sales
78002000,2025-03-03,EUR,5878.66,789.08,Debit,36272,CC102,Target,LEGO Digital Building Apps,Product Sales
78002000,2025-05-03,EUR,599921.88,80526.43,Debit,36272,CC109,Carrefour,LEGO Discovery STEM Sets,Product Sales
78002000,2025-06-29,EUR,440547.61,59133.91,Debit,36272,CC102,Target,LEGO Architecture Skyline Sets,Product Sales
78002000,2025-08-30,EUR,-10996.66,-1476.06,Credit,36272,CC104,Smithsonian Institution,LEGO Power Functions Accessories,Product Sales
78002000,2025-06-20,EUR,-8324.01,-1117.32,Credit,36272,CC105,Hamleys,LEGO Mindstorms Robotics Kits,Product Sales
78002000,2025-01-05,EUR,1931160.27,259216.14,Debit,36272,CC105,Hamleys,LEGO Mindstorms Robotics Kits,Product Sales
78002000,2025-10-13,EUR,-1562936.39,-209790.12,Credit,36272,CC104,Carrefour,LEGO Mosaic Maker Kits,Product Sales
78002000,2025-10-27,EUR,-86783.82,-11648.83,Credit,36272,CC102,Smithsonian Institution,LEGO Retail Store Experiences,Product Sales
78002000,2025-07-01,EUR,-61843.72,-8301.17,Credit,36272,CC101,The LEGO Foundation,LEGO Retail Store Experiences,Product Sales
78002001,2025-01-11,DKK,-58746099.88,-7885382.53,Credit,36272,CC102,Walmart,LEGO Education Kits,Product Sales
78002001,2025-09-24,DKK,-2952498.16,-396308.48,Credit,36272,CC100,Educational Insights,LEGO City Playsets,Product Sales
78002001,2025-11-11,DKK,4944218.84,663653.54,Debit,36272,CC104,Hamleys,LEGO Friends Playsets,Product Sales
78002001,2025-02-20,DKK,65263486.34,8760199.51,Debit,36272,CC104,Hamleys,LEGO Friends Playsets,Product Sales
78002001,2025-02-21,DKK,-15263181.44,-2048749.19,Credit,36272,CC101,Target,LEGO Harry Potter Sets,Product Sales
78002001,2025-08-19,DKK,-28151901.54,-3778778.73,Credit,36272,CC106,Hamleys,LEGO Harry Potter Sets,Product Sales
78002001,2025-02-22,DKK,-16303284.41,-2188360.32,Credit,36272,CC105,Hamleys,LEGO NINJAGO Playsets,Product Sales
78002001,2025-01-07,DKK,-18152208.28,-2436538.02,Credit,36272,CC109,Walmart,LEGO Classic Brick Boxes,Product Sales
78002001,2025-09-24,DKK,11333918.19,1521331.3,Debit,36272,CC100,Smithsonian Institution,LEGO Classic Brick Boxes,Product Sales
78002001,2025-02-09,DKK,-7755731.2,-1041037.74,Credit,36272,CC105,Target,LEGO DUPLO Sets,Product Sales
78002001,2025-07-30,DKK,-2013412.31,-270256.69,Credit,36272,CC102,Target,LEGO DUPLO Sets,Product Sales
78002001,2025-03-17,DKK,9711204.32,1303517.36,Debit,36272,CC101,Walmart,LEGO DUPLO Sets,Product Sales
78002001,2025-09-27,DKK,10242496.37,1374831.73,Debit,36272,CC102,Target,LEGO DUPLO Sets,Product Sales
78002001,2025-07-07,DKK,-34041599.23,-4569342.18,Credit,36272,CC103,Educational Insights,LEGO Architecture Sets,Product Sales
78002001,2025-12-28,DKK,23909854.87,3209376.49,Debit,36272,CC103,Educational Insights,LEGO Architecture Sets,Product Sales
78002001,2025-09-03,DKK,7358293.13,987690.35,Debit,36272,CC103,Educational Insights,LEGO Architecture Sets,Product Sales
78002001,2025-11-26,DKK,-1496802.78,-200913.12,Credit,36272,CC109,Hamleys,LEGO Speed Champions Sets,Product Sales
78002001,2025-10-10,DKK,-173162.36,-23243.27,Credit,36272,CC103,Smithsonian Institution,LEGO Speed Champions Sets,Product Sales
78002001,2025-03-09,DKK,5926759.03,795538.12,Debit,36272,CC103,Smithsonian Institution,LEGO Speed Champions Sets,Product Sales
78002001,2025-01-31,DKK,-3196488.58,-429058.87,Credit,36272,CC102,Target,LEGO Minecraft Playsets,Product Sales
78002001,2025-06-08,DKK,-6243672.74,-838076.88,Credit,36272,CC105,Educational Insights,LEGO Minecraft Playsets,Product Sales
78002001,2025-05-08,DKK,-1186545.15,-159267.81,Credit,36272,CC100,Carrefour,LEGO DOTS Kits,Product Sales
78002001,2025-06-25,DKK,-632236.69,-84863.99,Credit,36272,CC109,"Toys ""R"" Us",LEGO Super Mario Playsets,Product Sales
78002001,2025-06-30,DKK,4769582.74,640212.45,Debit,36272,CC109,"Toys ""R"" Us",LEGO Super Mario Playsets,Product Sales
78002001,2025-10-13,DKK,77217.92,10364.82,Debit,36272,CC107,John Lewis Partnership,LEGO Minifigure Blind Bags,Product Sales
78002001,2025-06-20,DKK,-487853.24,-65483.66,Credit,36272,CC104,Target,LEGO Botanical Collection,Product Sales
78002001,2025-05-03,DKK,-401577.92,-53903.08,Credit,36272,CC109,Educational Insights,LEGO Icons Sets,Product Sales
78002001,2025-06-03,DKK,-3831446.25,-514288.09,Credit,36272,CC106,Hamleys,LEGO Icons Sets,Product Sales
78002001,2025-05-23,DKK,-2125163.58,-285256.86,Credit,36272,CC109,Educational Insights,LEGO Icons Sets,Product Sales
78002001,2025-10-29,DKK,-851747.71,-114328.55,Credit,36272,CC108,John Lewis Partnership,LEGO Ideas Sets,Product Sales
78002001,2025-11-19,DKK,5186517.43,696176.84,Debit,36272,CC108,John Lewis Partnership,LEGO Ideas Sets,Product Sales
78002001,2025-08-29,DKK,10562339.86,1417763.74,Debit,36272,CC100,Target,LEGO Ideas Sets,Product Sales
78002001,2025-03-05,DKK,16088594.2,2159542.85,Debit,36272,CC108,John Lewis Partnership,LEGO Ideas Sets,Product Sales
78002001,2025-09-18,DKK,-1217237.74,-163387.62,Credit,36272,CC100,John Lewis Partnership,LEGO Super Heroes DC Sets,Product Sales
78002001,2025-11-01,DKK,-221664.58,-29753.63,Credit,36272,CC105,Amazon,LEGO BrickHeadz Figures,Product Sales
78002001,2025-12-01,DKK,6810247.08,914127.12,Debit,36272,CC104,Walmart,LEGO BrickHeadz Figures,Product Sales
78002001,2025-09-16,DKK,3761706.46,504927.04,Debit,36272,CC104,Amazon,LEGO Collectible Minifigures Series,Product Sales
78002001,2025-07-30,DKK,804910.88,108041.73,Debit,36272,CC104,Amazon,LEGO Keychains,Product Sales
78002001,2025-12-23,DKK,2477531.7,332554.59,Debit,36272,CC109,Carrefour,LEGO Keychains,Product Sales
78002001,2025-09-21,DKK,-126952.11,-17040.55,Credit,36272,CC100,John Lewis Partnership,LEGO Brick Separators,Product Sales
78002001,2025-12-03,DKK,3393099.66,455449.62,Debit,36272,CC100,John Lewis Partnership,LEGO Brick Separators,Product Sales
78002001,2025-12-23,DKK,1785998.02,239731.28,Debit,36272,CC100,John Lewis Partnership,LEGO Brick Separators,Product Sales
78002001,2025-11-17,DKK,-311922.29,-41868.76,Credit,36272,CC107,The LEGO Foundation,LEGO Education Kits,Product Sales
78002001,2025-06-14,DKK,-1880550.66,-252422.91,Credit,36272,CC103,Educational Insights,LEGO Education Kits,Product Sales
78002001,2025-09-13,DKK,634608.61,85182.36,Debit,36272,CC105,The LEGO Foundation,LEGO Education Kits,Product Sales
78002001,2025-06-03,DKK,170377.38,22869.45,Debit,36272,CC105,The LEGO Foundation,LEGO Education Kits,Product Sales
78002001,2025-01-11,DKK,7064676.65,948278.74,Debit,36272,CC102,Walmart,LEGO Education Kits,Product Sales
78002001,2025-01-06,DKK,784472.65,105298.34,Debit,36272,CC105,The LEGO Foundation,LEGO Education Kits,Product Sales
78002001,2025-01-02,DKK,-6592962.59,-884961.42,Credit,36272,CC109,Amazon,LEGO Gear & Apparel,Product Sales
78002001,2025-07-27,DKK,56028.2,7520.56,Debit,36272,CC109,Amazon,LEGO Gear & Apparel,Product Sales
78002001,2025-05-24,DKK,-6570637.41,-881964.75,Credit,36272,CC104,The LEGO Foundation,LEGO Puzzle and Board Games,Product Sales
78002001,2025-05-23,DKK,495098.87,66456.22,Debit,36272,CC104,The LEGO Foundation,LEGO Puzzle and Board Games,Product Sales
78002001,2025-09-05,DKK,-35919.78,-4821.45,Credit,36272,CC104,Educational Insights,LEGO Books & Magazines,Product Sales
78002001,2025-04-18,DKK,-1012927.86,-135963.47,Credit,36272,CC102,Hamleys,LEGO Monkie Kid Playsets,Product Sales
78002001,2025-04-27,DKK,1660503.33,222886.35,Debit,36272,CC102,Hamleys,LEGO Monkie Kid Playsets,Product Sales
78002001,2025-04-26,DKK,1864834.65,250313.38,Debit,36272,CC104,Educational Insights,LEGO Jurassic World Sets,Product Sales
78002001,2025-02-28,DKK,4010738.21,538354.12,Debit,36272,CC108,Amazon,LEGO Jurassic World Sets,Product Sales
78002001,2025-09-17,DKK,-18448.2,-2476.27,Credit,36272,CC109,Target,LEGO Avatar Sets,Product Sales
78002001,2025-02-24,DKK,-693821.54,-93130.41,Credit,36272,CC109,Smithsonian Institution,LEGO Avatar Sets,Product Sales
78002001,2025-02-05,DKK,-3598894.07,-483073.03,Credit,36272,CC103,Target,LEGO Gift Cards,Product Sales
78002001,2025-09-09,DKK,143140.9,19213.54,Debit,36272,CC105,John Lewis Partnership,LEGO Gift Cards,Product Sales
78002001,2025-11-27,DKK,3066695.58,411636.99,Debit,36272,CC105,John Lewis Partnership,LEGO Gift Cards,Product Sales
78002001,2025-01-13,DKK,7708430.94,1034688.72,Debit,36272,CC102,Smithsonian Institution,LEGO Stationery,Product Sales
78002001,2025-01-28,DKK,-4371029.46,-586715.36,Credit,36272,CC105,Walmart,LEGO City Stuntz Sets,Product Sales
78002001,2025-06-11,DKK,835099.92,112093.95,Debit,36272,CC108,John Lewis Partnership,LEGO City Stuntz Sets,Product Sales
78002001,2025-03-23,DKK,-64128.55,-8607.86,Credit,36272,CC109,"Toys ""R"" Us",LEGO Advent Calendars,Product Sales
78002001,2025-10-31,DKK,-203162.65,-27270.15,Credit,36272,CC105,Carrefour,LEGO Wearable Watches,Product Sales
78002001,2025-07-05,DKK,989294.99,132791.27,Debit,36272,CC105,Carrefour,LEGO Wearable Watches,Product Sales
78002001,2025-11-18,DKK,-155019.32,-20807.96,Credit,36272,CC107,Target,LEGO Personalized Bricks,Product Sales
78002001,2025-01-31,DKK,-598564.86,-80344.28,Credit,36272,CC107,Target,LEGO Personalized Bricks,Product Sales
78002001,2025-08-26,DKK,-626097.13,-84039.88,Credit,36272,CC100,John Lewis Partnership,LEGO Personalized Bricks,Product Sales
78002001,2025-10-28,DKK,485.65,65.19,Debit,36272,CC105,Smithsonian Institution,LEGO Personalized Bricks,Product Sales
78002001,2025-06-30,DKK,701070.31,94103.4,Debit,36272,CC109,Educational Insights,LEGO Personalized Bricks,Product Sales
78002001,2025-07-12,DKK,3811898.29,511664.2,Debit,36272,CC109,Carrefour,LEGO Build & Store Workshops,Product Sales
78002001,2025-10-27,DKK,586029.16,78661.63,Debit,36272,CC108,The LEGO Foundation,LEGO Build & Store Workshops,Product Sales
78002001,2025-03-13,DKK,-11020.54,-1479.27,Credit,36272,CC105,Target,LEGO Digital Building Apps,Product Sales
78002001,2025-03-19,DKK,150499.96,20201.34,Debit,36272,CC102,Target,LEGO Digital Building Apps,Product Sales
78002001,2025-03-28,DKK,39310.66,5276.6,Debit,36272,CC100,Amazon,LEGO Digital Building Apps,Product Sales
78002001,2025-03-29,DKK,-341214.41,-45800.59,Credit,36272,CC109,Carrefour,LEGO Discovery STEM Sets,Product Sales
78002001,2025-12-07,DKK,-3698.27,-496.41,Credit,36272,CC101,John Lewis Partnership,LEGO Discovery STEM Sets,Product Sales
78002001,2025-09-16,DKK,-440547.61,-59133.91,Credit,36272,CC105,Carrefour,LEGO Architecture Skyline Sets,Product Sales
78002001,2025-08-06,DKK,4160147.9,558409.11,Debit,36272,CC105,Carrefour,LEGO Architecture Skyline Sets,Product Sales
78002001,2025-12-23,DKK,-872142.3,-117066.08,Credit,36272,CC103,Educational Insights,LEGO Brick Storage Heads,Product Sales
78002001,2025-11-09,DKK,7525.44,1010.13,Debit,36272,CC103,Educational Insights,LEGO Brick Storage Heads,Product Sales
78002001,2025-02-16,DKK,160129.48,21493.89,Debit,36272,CC105,Hamleys,LEGO Power Functions Accessories,Product Sales
78002001,2025-05-30,DKK,1298704.88,174322.8,Debit,36272,CC105,Hamleys,LEGO Power Functions Accessories,Product Sales
78002001,2025-12-06,DKK,1225909.67,164551.63,Debit,36272,CC106,Hamleys,LEGO Power Functions Accessories,Product Sales
78002001,2025-06-18,DKK,2100.11,281.89,Debit,36272,CC106,Hamleys,LEGO Power Functions Accessories,Product Sales
78002001,2025-03-10,DKK,-92408.28,-12403.8,Credit,36272,CC101,John Lewis Partnership,LEGO Mindstorms Robotics Kits,Product Sales
78002001,2025-03-15,DKK,-2510153.52,-336933.36,Credit,36272,CC105,Hamleys,LEGO Mindstorms Robotics Kits,Product Sales
78002001,2025-10-06,DKK,916801.49,123060.6,Debit,36272,CC103,Hamleys,LEGO Mindstorms Robotics Kits,Product Sales
78002001,2025-10-20,DKK,-493642.45,-66260.73,Credit,36272,CC103,John Lewis Partnership,LEGO Mosaic Maker Kits,Product Sales
78002001,2025-07-23,DKK,7432.23,997.61,Debit,36272,CC104,Educational Insights,LEGO Mosaic Maker Kits,Product Sales
78002001,2025-09-03,DKK,2047503.53,274832.69,Debit,36272,CC108,Walmart,LEGO Mosaic Maker Kits,Product Sales
78002001,2025-11-06,DKK,-225422.51,-30258.06,Credit,36272,CC101,The LEGO Foundation,LEGO Retail Store Experiences,Product Sales
78002001,2025-01-29,DKK,-97223.71,-13050.16,Credit,36272,CC101,The LEGO Foundation,LEGO Retail Store Experiences,Product Sales
78002001,2025-05-17,DKK,1657676.16,222506.87,Debit,36272,CC101,The LEGO Foundation,LEGO Retail Store Experiences,Product Sales
78002001,2025-08-25,DKK,-489220.58,-65667.19,Credit,36272,CC104,Amazon,LEGO Events & Parties,Product Sales
78002001,2025-01-17,DKK,94377.4,12668.11,Debit,36272,CC103,Hamleys,LEGO Events & Parties,Product Sales
78002001,2025-08-21,DKK,-310881.31,-41729.03,Credit,36272,CC104,Smithsonian Institution,LEGO Branded Home Decor,Product Sales
78002001,2025-07-11,DKK,-898961.73,-120666.0,Credit,36272,CC104,Smithsonian Institution,LEGO Branded Home Decor,Product Sales
78002001,2025-08-18,DKK,-251593.93,-33771.0,Credit,36272,CC104,Educational Insights,LEGO Branded Home Decor,Product Sales
78002001,2025-04-29,DKK,-1775038.47,-238260.2,Credit,36272,CC102,John Lewis Partnership,LEGO Branded Home Decor,Product Sales
78002001,2025-12-19,DKK,359938.78,48313.93,Debit,36272,CC102,John Lewis Partnership,LEGO Branded Home Decor,Product Sales
78002001,2025-02-15,DKK,204.85,27.5,Debit,36272,CC102,Hamleys,LEGO Branded Home Decor,Product Sales
78002002,2025-06-15,EUR,154966961.04,20800934.37,Debit,36272,CC100,The LEGO Foundation,LEGO Puzzle and Board Games,Product Sales
78002002,2025-08-08,EUR,-25228976.86,-3386439.85,Credit,36272,CC100,Educational Insights,LEGO City Playsets,Product Sales
78002002,2025-01-24,EUR,8122655.1,1090289.28,Debit,36272,CC103,"Toys ""R"" Us",LEGO City Playsets,Product Sales
78002002,2025-03-08,EUR,-323345931.76,-43402138.49,Credit,36272,CC100,John Lewis Partnership,LEGO Friends Playsets,Product Sales
78002002,2025-02-21,EUR,119791789.35,16079434.81,Debit,36272,CC100,John Lewis Partnership,LEGO Friends Playsets,Product Sales
78002002,2025-07-29,EUR,-17028633.32,-2285722.59,Credit,36272,CC100,Walmart,LEGO Technic Sets,Product Sales
78002002,2025-07-10,EUR,-6267308.7,-841249.49,Credit,36272,CC101,The LEGO Foundation,LEGO Technic Sets,Product Sales
78002002,2025-03-14,EUR,4718062.26,633296.95,Debit,36272,CC109,Amazon,LEGO Technic Sets,Product Sales
78002002,2025-07-30,EUR,-14240.96,-1911.54,Credit,36272,CC106,Hamleys,LEGO Harry Potter Sets,Product Sales
78002002,2025-06-28,EUR,-4563273.33,-612519.91,Credit,36272,CC102,The LEGO Foundation,LEGO Harry Potter Sets,Product Sales
78002002,2025-03-08,EUR,56093851.91,7529376.1,Debit,36272,CC101,Target,LEGO Harry Potter Sets,Product Sales
78002002,2025-04-10,EUR,25301520.5,3396177.25,Debit,36272,CC108,Target,LEGO Harry Potter Sets,Product Sales
78002002,2025-12-20,EUR,-13505729.81,-1812849.64,Credit,36272,CC105,Hamleys,LEGO NINJAGO Playsets,Product Sales
78002002,2025-03-15,EUR,-1608299.69,-215879.15,Credit,36272,CC105,Hamleys,LEGO NINJAGO Playsets,Product Sales
78002002,2025-08-31,EUR,109652.72,14718.49,Debit,36272,CC100,John Lewis Partnership,LEGO NINJAGO Playsets,Product Sales
78002002,2025-01-16,EUR,-11938705.22,-1602510.77,Credit,36272,CC101,Educational Insights,LEGO DUPLO Sets,Product Sales
78002002,2025-11-26,EUR,-39113733.64,-5250165.59,Credit,36272,CC105,Target,LEGO DUPLO Sets,Product Sales
78002002,2025-04-11,EUR,34618484.49,4646776.44,Debit,36272,CC102,Target,LEGO DUPLO Sets,Product Sales
78002002,2025-06-01,EUR,22150334.13,2973199.21,Debit,36272,CC103,Smithsonian Institution,LEGO Speed Champions Sets,Product Sales
78002002,2025-05-03,EUR,2191410.94,294149.12,Debit,36272,CC109,Hamleys,LEGO Speed Champions Sets,Product Sales
78002002,2025-07-24,EUR,630721.91,84660.66,Debit,36272,CC103,Smithsonian Institution,LEGO Speed Champions Sets,Product Sales
78002002,2025-12-03,EUR,37836.46,5078.72,Debit,36272,CC105,Educational Insights,LEGO Minecraft Playsets,Product Sales
78002002,2025-04-09,EUR,-3911852.28,-525080.84,Credit,36272,CC107,Amazon,LEGO DOTS Kits,Product Sales
78002002,2025-12-06,EUR,-158696.72,-21301.57,Credit,36272,CC100,Carrefour,LEGO DOTS Kits,Product Sales
